metric_family,scope,component,direction,scale,point_estimate,bootstrap_standard_error,simultaneous_bound,critical_value,valid_replicates,degenerate_replicates,status
ABSOLUTE_MS_oracle_nrmse_family_F1,THREE_PRIMARY_COMPONENTS_WITHIN_F1,viscosity_laplacian_acceleration,upper,identity,0.19073495938969862,0.07481412062965175,0.3308346096464325,1.8726364632455084,10000,0,EVALUABLE
ABSOLUTE_MS_oracle_nrmse_family_F2,THREE_PRIMARY_COMPONENTS_WITHIN_F2,density_rate,upper,identity,0.2998389172054629,0.057783000600734866,0.4334161408717,2.311704519971542,10000,0,EVALUABLE
ABSOLUTE_MS_oracle_nrmse_family_F2,THREE_PRIMARY_COMPONENTS_WITHIN_F2,pressure_gradient_acceleration,upper,identity,0.17334538907641295,0.04094185172139212,0.26799085275675977,2.311704519971542,10000,0,EVALUABLE
ABSOLUTE_MS_oracle_nrmse_family_F2,THREE_PRIMARY_COMPONENTS_WITHIN_F2,viscosity_laplacian_acceleration,upper,identity,0.06651075404065908,0.010955311496899168,0.09183619714573708,2.311704519971542,10000,0,EVALUABLE
ABSOLUTE_MS_oracle_nrmse_family_F3,THREE_PRIMARY_COMPONENTS_WITHIN_F3,density_rate,upper,identity,0.3302094578159365,0.0700181070690445,0.5035724226195593,2.47597331691173,10000,0,EVALUABLE
ABSOLUTE_MS_oracle_nrmse_family_F3,THREE_PRIMARY_COMPONENTS_WITHIN_F3,pressure_gradient_acceleration,upper,identity,0.13836629064784112,0.024058439603037534,0.1979343451514945,2.47597331691173,10000,0,EVALUABLE
ABSOLUTE_MS_oracle_nrmse_family_F3,THREE_PRIMARY_COMPONENTS_WITHIN_F3,viscosity_laplacian_acceleration,upper,identity,0.06129813502993442,0.00794053776500995,0.08095869465802896,2.47597331691173,10000,0,EVALUABLE
ABSOLUTE_MS_oracle_nrmse_family_F4,THREE_PRIMARY_COMPONENTS_WITHIN_F4,density_rate,upper,identity,2.1843215676872654,0.3049559293224552,2.8375499028361686,2.1420417586247056,10000,0,EVALUABLE
ABSOLUTE_MS_oracle_nrmse_family_F4,THREE_PRIMARY_COMPONENTS_WITHIN_F4,pressure_gradient_acceleration,upper,identity,0.4008420862773405,0.10345399186278997,0.6224448569438572,2.1420417586247056,10000,0,EVALUABLE
ABSOLUTE_MS_oracle_nrmse_family_F4,THREE_PRIMARY_COMPONENTS_WITHIN_F4,viscosity_laplacian_acceleration,upper,identity,0.3568837781460998,0.04164207863992066,0.4460828495087437,2.1420417586247056,10000,0,EVALUABLE
PAIRED_dnn_p90_ratio,STABLE_PRIMARY_COMPONENT_SUBSET_WITH_UNSTABLE_COMPONENTS_NOT_EVALUABLE,density_rate,upper,log,nan,nan,nan,nan,0,10000,NOT_EVALUABLE_UNSTABLE_RATIO_NO_FROZEN_ABSOLUTE_DIFFERENCE_MARGIN
PAIRED_dnn_p90_ratio,STABLE_PRIMARY_COMPONENT_SUBSET_WITH_UNSTABLE_COMPONENTS_NOT_EVALUABLE,pressure_gradient_acceleration,upper,log,nan,nan,nan,nan,0,10000,NOT_EVALUABLE_UNSTABLE_RATIO_NO_FROZEN_ABSOLUTE_DIFFERENCE_MARGIN
PAIRED_dnn_p90_ratio,STABLE_PRIMARY_COMPONENT_SUBSET_WITH_UNSTABLE_COMPONENTS_NOT_EVALUABLE,viscosity_laplacian_acceleration,upper,log,nan,nan,nan,nan,0,10000,NOT_EVALUABLE_UNSTABLE_RATIO_NO_FROZEN_ABSOLUTE_DIFFERENCE_MARGIN
PAIRED_conditional_variance_ratio,THREE_PRIMARY_COMPONENTS,density_rate,upper,log,0.0948675044702515,0.11699246794799228,0.12322942322265598,2.2357560593741015,10000,0,EVALUABLE
PAIRED_conditional_variance_ratio,THREE_PRIMARY_COMPONENTS,pressure_gradient_acceleration,upper,log,0.9817090074390701,0.019837609767363817,1.0262298174308377,2.2357560593741015,10000,0,EVALUABLE
PAIRED_conditional_variance_ratio,THREE_PRIMARY_COMPONENTS,viscosity_laplacian_acceleration,upper,log,0.9241202677195474,0.06798730711482615,1.075827333245831,2.2357560593741015,10000,0,EVALUABLE
PAIRED_oracle_nrmse_ratio,THREE_PRIMARY_COMPONENTS,density_rate,upper,log,1.5335755684392056,0.16771607237916655,2.2494791908374703,2.2841981181831525,10000,0,EVALUABLE
PAIRED_oracle_nrmse_ratio,THREE_PRIMARY_COMPONENTS,pressure_gradient_acceleration,upper,log,0.47973992785069475,0.07320468744463905,0.5670560482614131,2.2841981181831525,10000,0,EVALUABLE
PAIRED_oracle_nrmse_ratio,THREE_PRIMARY_COMPONENTS,viscosity_laplacian_acceleration,upper,log,0.42229200590639826,0.06653741035306439,0.491608004145733,2.2841981181831525,10000,0,EVALUABLE
