formal_case_index,case_id,particle_row_count,observable_case_id_derived_from_frozen_index_matches_target,observable_particle_id_sequence_matches_target,observable_particle_state_hash_derived_from_registry_matches_target,silent_reorder_count,join_passed
76,MSO02A|PRIMARY|F1|886e953d8b127105cbef7a56999f5f613dc7d64292b26d56ffb0aa94de8daab3,576,True,True,True,0,True
77,MSO02A|PRIMARY|F1|6767b47612868270688ea4c5c031681073ca3a71ca66aaa302c7a568f043c32a,576,True,True,True,0,True
78,MSO02A|PRIMARY|F1|2acb5b462c184f07aa80853b9b3475e910159f373afb2838fa15c8235c9770b7,576,True,True,True,0,True
79,MSO02A|PRIMARY|F1|791bc7be4739c88786f590e5013cfa7332736e9a094e7c3e53bfd7fba1e2c585,576,True,True,True,0,True
80,MSO02A|PRIMARY|F1|ded4bab4e3d2429fe10ba8932cf8358c0eff7ab9767786dbe91e87b6db9f778e,576,True,True,True,0,True
81,MSO02A|PRIMARY|F1|009babe5d048eb575a3073c0a484083b49614ef38b2ceaefaa3344288c490c5e,576,True,True,True,0,True
82,MSO02A|PRIMARY|F1|7ae5625ccaeb491623797bca8da0f3c3db9c2b0692d099b255b508371665b2cb,576,True,True,True,0,True
83,MSO02A|PRIMARY|F1|e4023a3592ab6269758be005d6bef7f24b7b8e9eccf1e4964116684541f30963,576,True,True,True,0,True
84,MSO02A|PRIMARY|F1|06cf75637c2a3d3f3573ff97b6e359aec491b6279e5c26f01acbc1439755971a,576,True,True,True,0,True
85,MSO02A|PRIMARY|F1|9b2e6dc38ed595ac8070e62dba8c6898b75adea277187c29912a64ef338720df,576,True,True,True,0,True
86,MSO02A|PRIMARY|F1|557ac1427cc22dd817655bd2ed7c40f97ccc5b4b2e84e78f47450771d6b93376,576,True,True,True,0,True
87,MSO02A|PRIMARY|F1|0a80853938a248d72e7aa59feb0fd581a64e29b619cc090fee65487fae22edd2,576,True,True,True,0,True
88,MSO02A|PRIMARY|F1|fdad7688f3ef8d8f86ddd1813a744c7355f443501a46206a3fbb80e8d9346766,576,True,True,True,0,True
89,MSO02A|PRIMARY|F1|07d189569806b6a5d3e1520c526968b5ae6ba019e798d03e2761579b6a6dfd3f,576,True,True,True,0,True
90,MSO02A|PRIMARY|F1|1acd36c5029d3a5bf529b564c2adefdddceef8f48e9b2634c3d85e8596beb699,576,True,True,True,0,True
91,MSO02A|PRIMARY|F1|3a1f7dbfb327db3e8898ef55bca8751c8a0a58970280aaafb42beef817831e7a,576,True,True,True,0,True
92,MSO02A|PRIMARY|F1|f5712ff20e8cbc7008362527fa124e5fcc8c441c64eb0663f87637932fefa91b,576,True,True,True,0,True
93,MSO02A|PRIMARY|F1|12d34133cee453cbdd687661ffc2910719872640e6fee943721090e658f73579,576,True,True,True,0,True
94,MSO02A|PRIMARY|F1|3cd072fd899b19c6d0d37b0d88f81c2b2f5ac31c133a8ac46b35850c9e5130d2,576,True,True,True,0,True
95,MSO02A|PRIMARY|F1|201634997306de6a4f5fa8a0e95e9a5d707b63400045d8f449ee3bf8a00e3b10,576,True,True,True,0,True
96,MSO02A|PRIMARY|F2|23b417b4ef0160f04098bbc11651e8eaffa50dbbee368e4d7b8363cb6a44d01b,576,True,True,True,0,True
97,MSO02A|PRIMARY|F2|9e15815858b2a4f1b8e2aba526662c25a9f64033a48324276aaabbb1b595eb89,576,True,True,True,0,True
98,MSO02A|PRIMARY|F2|a644b7c775c9220ee482eb068eee4cba6dcbdbfb37dea3fd5b3e74c11f2a3cbd,576,True,True,True,0,True
99,MSO02A|PRIMARY|F2|143fb311d108dce4f2833acd3d595424361b5ecd1dc72c9be99c976a87f1623a,576,True,True,True,0,True
100,MSO02A|PRIMARY|F2|d789f89db98ef5b0cd037593d44125c14af4270a18ad98d6cd38dfc477aa58a4,576,True,True,True,0,True
101,MSO02A|PRIMARY|F2|c65ac2c8a1ac9a4215aed727932730ea3949e884466c9efd58935794fc230b2d,576,True,True,True,0,True
102,MSO02A|PRIMARY|F2|9f7dad556454d3a199175a22a9f2b0c753ed904b8b9a0908fce5a5cb59a6b799,576,True,True,True,0,True
103,MSO02A|PRIMARY|F2|0734ded2e07b61554344f9cc58ca28f160a97c12ab61960df6f2f88d58b9776b,576,True,True,True,0,True
104,MSO02A|PRIMARY|F2|f3e5062d738d5d466bb4a6b3f9b11603c5b92d3d2b7fa623e07fc6de1c26fa3b,576,True,True,True,0,True
105,MSO02A|PRIMARY|F2|34a4c0854c5b032effb1ddc7f62bb3ddf676656f8c396b79611e525992aa8b57,576,True,True,True,0,True
106,MSO02A|PRIMARY|F2|81b10b49348b67c58dad96883b127299c7f383a1ad613ccc2d08b58b36652809,576,True,True,True,0,True
107,MSO02A|PRIMARY|F2|d52a332f84046d8f96d910e1531711ff0299a79c5ab13a5cf6e7fccaf089253d,576,True,True,True,0,True
108,MSO02A|PRIMARY|F2|2d544e2dda1303c8b16d1e28b6b03a63270e12a4f3a931bd87a274ba7cb610d4,576,True,True,True,0,True
109,MSO02A|PRIMARY|F2|ed935651790313dc271426a1435931ef6a58ef99bcc91d9c296bfffad87982d8,576,True,True,True,0,True
110,MSO02A|PRIMARY|F2|ba55cdbc97afb8907b54d9562f393a8610abbd5ccbf7affadab508f9b17a9038,576,True,True,True,0,True
111,MSO02A|PRIMARY|F2|fbebe9b7436c203e1e31ff17746f385719fdda1fbb1221233579b1ee0c59c5d3,576,True,True,True,0,True
112,MSO02A|PRIMARY|F2|117d2eef5039463dc5cabd9160b7fe5a5f4b9b56e3f170c2ea9bf79126435e68,576,True,True,True,0,True
113,MSO02A|PRIMARY|F2|34c53812819cfb25fd39bc6c6aab4f92b207c9176cfb3349b999cf95353afe79,576,True,True,True,0,True
114,MSO02A|PRIMARY|F2|85a6ab6d0c7f38c53971220804ce250f1608c23dff61f611ac2597615d9a3244,576,True,True,True,0,True
115,MSO02A|PRIMARY|F2|74b492df730042d4536997383a5672420d71019f74ecfa5666d8b769d921c4d1,576,True,True,True,0,True
116,MSO02A|PRIMARY|F2|61630fd0ed03644305ee5bc91058073d086bcabc4b66ff3674c4610afb84fce9,576,True,True,True,0,True
117,MSO02A|PRIMARY|F2|9568147e1359a849299aa66092247ee1f1d71ea94530c3551ac6a3ccae98a9f6,576,True,True,True,0,True
118,MSO02A|PRIMARY|F2|0727b97861737a963f49e6ca50934feb905d0f5b3c7a4847d5a281f82647b979,576,True,True,True,0,True
119,MSO02A|PRIMARY|F2|8ba95c4d719679e736c66f5231dee19c7a749325c413e4d04582ae9f65ba4708,576,True,True,True,0,True
120,MSO02A|PRIMARY|F2|4508ba5d37820a488cea5fda4a1ba1e117dad2b203124691e2a4a2aad99d6d72,576,True,True,True,0,True
121,MSO02A|PRIMARY|F2|2fa19953b7eab974441a69dc46b69ef431d7556818696e40e23d2af2bce010dd,576,True,True,True,0,True
122,MSO02A|PRIMARY|F2|4bb55e07f3db412790e6efc90a99a744dba11c1aaebfc193031874e2c9d746cf,576,True,True,True,0,True
123,MSO02A|PRIMARY|F2|4a24ff2d92fb3dd1383ded4ea336224f24f35b357fee7d32484e3a804d4a9dae,576,True,True,True,0,True
124,MSO02A|PRIMARY|F2|e75831d15f5acbb0bff2fd29892ee99928aa88a7acc37bac939a511adfb34f2c,576,True,True,True,0,True
125,MSO02A|PRIMARY|F2|1d5277552f629204c03b384bd3859bc2a8471006ee69a541612fdf260e5fcd31,576,True,True,True,0,True
126,MSO02A|PRIMARY|F2|cb1e905944b22f0d5e9a364e8548dd3dd88f86b1bdb17e77c6d81a6bf99353d9,576,True,True,True,0,True
127,MSO02A|PRIMARY|F2|3bbe6e0db3c78d1c8e182a96288d632bf5d6765b7e7f211cc7b22993b81f3f16,576,True,True,True,0,True
128,MSO02A|PRIMARY|F2|e920287d27324ae925ac41f56ac8a68158ad0c880f532871aaf9d4274dd7f17d,576,True,True,True,0,True
129,MSO02A|PRIMARY|F2|6f32c01f7e276209145f9b93745f46b56f81ff98d4bdc60dab6bc6cfa939f7cd,576,True,True,True,0,True
130,MSO02A|PRIMARY|F2|271af9431a12a81d277c72d8d151c579ef48ea751eea540e345225c57d1dc880,576,True,True,True,0,True
131,MSO02A|PRIMARY|F2|266753e11e619952d83c4544c873604ced6944ffa91f6b251df0bde9e7bc0973,576,True,True,True,0,True
132,MSO02A|PRIMARY|F2|c43f513dbf1b4e178b5570c6da4f96a55405acf7c084e31d7e4d806d391041b8,576,True,True,True,0,True
133,MSO02A|PRIMARY|F2|1b17d8dca9e0e5b8cbfdc2c3af37d12c9840531e74e79246c2b176638f3107d3,576,True,True,True,0,True
134,MSO02A|PRIMARY|F2|634fc43c6a57f1918cbcf6231be577f8797de61a35e8da24af688728708177fb,576,True,True,True,0,True
135,MSO02A|PRIMARY|F2|975d81ef01def97e1b5d890c91b96e035e00d7b3952f9e10a2b58a537fe3ffb4,576,True,True,True,0,True
136,MSO02A|PRIMARY|F2|f7dd6afdad35f08f5fab038b60c9181ffadab55ac41885535595fb03c6bba86b,576,True,True,True,0,True
137,MSO02A|PRIMARY|F2|b0ec4e184b53cc6ec0912108c3f7587ba6793e6668ae2aeda1063656a3220510,576,True,True,True,0,True
138,MSO02A|PRIMARY|F2|5526061cde05bddc8239d60d544798696be531c8ee37e59a8efbe1b59e134710,576,True,True,True,0,True
139,MSO02A|PRIMARY|F2|7c7adc33721be42c9527358d6401bb229a35f184f91066892eaf2859351e28cf,576,True,True,True,0,True
140,MSO02A|PRIMARY|F2|a424f7f64ff3b71888a3ac707b7779ecc2cdf618d93e784274557de39c94ff40,576,True,True,True,0,True
141,MSO02A|PRIMARY|F2|f5f07db6180e034cd4a22a72cae93c50017a9d92fe56167b7500f952615dfad8,576,True,True,True,0,True
142,MSO02A|PRIMARY|F2|f04598221e1f5ca84f9e260e12f035ec2027ecfa6cd1fefbfe84b8c04e1768f0,576,True,True,True,0,True
143,MSO02A|PRIMARY|F2|6e9e321c7746d09819b11754452ecfc69fd71b079621b93cba33e0780abc4b27,576,True,True,True,0,True
144,MSO02A|PRIMARY|F2|947c5e731495cdb6abaabeb6281a31c1c54677343b97acd9ff96ecf8c2b3cbd0,576,True,True,True,0,True
145,MSO02A|PRIMARY|F2|cdb750a0cc00aa704ebcf8ca97ecf514b5b000d74fd93cd2e7fa8b550bf889cc,576,True,True,True,0,True
146,MSO02A|PRIMARY|F2|1cd90b960ef65ccb6e981a6389e411a95c7bc9c5bc6e15da2692767ff8d27f50,576,True,True,True,0,True
147,MSO02A|PRIMARY|F2|013295cfdd0aa334074ea4bfee86461d029ffdf1747eaf0893924bbc244eae1a,576,True,True,True,0,True
148,MSO02A|PRIMARY|F2|0503a522399c0d5a200c9654d651cb488a9d823b8aa0f5cf10eec2f1ac069ac1,576,True,True,True,0,True
149,MSO02A|PRIMARY|F2|5b415ff864fd128e4168b0a7272e5f64df7480f08b09b4a95098a3a8303dde0c,576,True,True,True,0,True
150,MSO02A|PRIMARY|F2|69f6fc95999f8b80c6fc0170a0cfa9e26979546c01c1c1c46099e79839adf89d,576,True,True,True,0,True
151,MSO02A|PRIMARY|F2|82f3ff4a2653ddf14886e04f0d1b66279d2bc604ca479b608114e096baa3f2fa,576,True,True,True,0,True
152,MSO02A|PRIMARY|F2|825ba3f8d91d9cabf4b5874909300a667ca9f39abe5cabfbc25e922020a7464d,576,True,True,True,0,True
153,MSO02A|PRIMARY|F2|5858a6bfa69567c95642aa07c238fdff4fa51b812ffa9fb24d381a130d1f4a01,576,True,True,True,0,True
154,MSO02A|PRIMARY|F2|11efb28fb89d5ed2d8e2f67c435459a1111975d0ca52ee55a769fa7fd80f17d1,576,True,True,True,0,True
155,MSO02A|PRIMARY|F2|d3b9cb247607dd88ccddc83e2ae04c2d93227a313d58de21451dc94faf92362b,576,True,True,True,0,True
