arm,component,scope,scope_id,oracle_nrmse,residual_rms,frozen_metric_reproduced,status,evidence_class,selected_oracle,target_magnitude_p25,target_magnitude_p75
SS,pressure_gradient_acceleration,FAMILY_FOLD,F1|FOLD_3,0.17972149061038517,0.19329491966766282,,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,,,
SS,pressure_gradient_acceleration,FAMILY_FOLD,F2|FOLD_3,0.25729214657683014,0.2767240836628977,,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,,,
SS,pressure_gradient_acceleration,FAMILY_FOLD,F3|FOLD_3,0.4256092973888786,0.457753353086422,,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,,,
SS,pressure_gradient_acceleration,FAMILY_FOLD,F4|FOLD_3,0.0619753021097581,0.0666559742076421,,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,,,
SS,pressure_gradient_acceleration,FAMILY_FOLD,F1|FOLD_4,0.5399763977412708,0.5825287571444773,,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,,,
SS,pressure_gradient_acceleration,FAMILY_FOLD,F2|FOLD_4,0.21905784654594282,0.23632050516455477,,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,,,
SS,pressure_gradient_acceleration,FAMILY_FOLD,F3|FOLD_4,0.4308239919249732,0.4647746931419171,,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,,,
SS,pressure_gradient_acceleration,FAMILY_FOLD,F4|FOLD_4,0.06460079048370727,0.06969159827807145,,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,,,
SS,pressure_gradient_acceleration,FAMILY_FOLD,F1|FOLD_5,0.8472235871958361,0.8973091499758065,,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,,,
SS,pressure_gradient_acceleration,FAMILY_FOLD,F2|FOLD_5,0.5740304047272009,0.6079655268225803,,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,,,
SS,pressure_gradient_acceleration,FAMILY_FOLD,F3|FOLD_5,0.11001581127080377,0.11651964792675787,,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,,,
SS,pressure_gradient_acceleration,FAMILY_FOLD,F4|FOLD_5,0.27769439202736385,0.2941109320242812,,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,,,
SS,pressure_gradient_acceleration,TARGET_AMPLITUDE,LOW_LE_P25,,0.04548327494565132,,EVALUABLE_RAW_RESIDUAL_ONLY,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,,0.0,0.3519680848751882
SS,pressure_gradient_acceleration,TARGET_AMPLITUDE,MID_P25_TO_P75,,0.360282660583136,,EVALUABLE_RAW_RESIDUAL_ONLY,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,,0.0,0.3519680848751882
SS,pressure_gradient_acceleration,TARGET_AMPLITUDE,HIGH_GE_P75,,1.3447113954821914,,EVALUABLE_RAW_RESIDUAL_ONLY,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,,0.0,0.3519680848751882
SS,pressure_gradient_acceleration,VECTOR_DIRECTION,X_COORDINATE,,0.5436224146667074,,EVALUABLE_COORDINATE_COMPONENT_NOT_INTRINSIC_DIRECTION,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,,,
SS,pressure_gradient_acceleration,VECTOR_DIRECTION,Y_COORDINATE,,0.42396265903387503,,EVALUABLE_COORDINATE_COMPONENT_NOT_INTRINSIC_DIRECTION,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,,,
SS,pressure_gradient_acceleration,DESIGN_ONLY_POLARIZATION,longitudinal,,0.03381389223676738,,EVALUABLE_RAW_RESIDUAL_ONLY,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,,,
SS,pressure_gradient_acceleration,DESIGN_ONLY_POLARIZATION,none,,1.0633423962762247,,EVALUABLE_RAW_RESIDUAL_ONLY,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,,,
SS,pressure_gradient_acceleration,DESIGN_ONLY_POLARIZATION,transverse,,0.054642613835687005,,EVALUABLE_RAW_RESIDUAL_ONLY,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,,,
SS,viscosity_laplacian_acceleration,OVERALL,ALL,0.4671398530431645,0.005725310076737684,True,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,,,
SS,viscosity_laplacian_acceleration,FOLD,FOLD_0,0.4864150676718254,0.005677771333551166,,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,ridge,,
SS,viscosity_laplacian_acceleration,FOLD,FOLD_1,0.2688153393230976,0.0035265257921761025,,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,ridge,,
SS,viscosity_laplacian_acceleration,FOLD,FOLD_2,0.2476141085165635,0.0027086407179489147,,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,ridge,,
SS,viscosity_laplacian_acceleration,FOLD,FOLD_3,0.8910969285310828,0.008907843238949612,,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,ridge,,
SS,viscosity_laplacian_acceleration,FOLD,FOLD_4,0.7078537808393528,0.00801882625404593,,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,ridge,,
SS,viscosity_laplacian_acceleration,FOLD,FOLD_5,0.2010438933770651,0.0025846050441024945,,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,ridge,,
SS,viscosity_laplacian_acceleration,FAMILY,F1,0.6933343029739295,0.0077498869996137955,,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,,,
SS,viscosity_laplacian_acceleration,FAMILY,F2,0.31000130028518585,0.0031536262174009086,,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,,,
SS,viscosity_laplacian_acceleration,FAMILY,F3,0.256017096836535,0.0027819533498798423,,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,,,
SS,viscosity_laplacian_acceleration,FAMILY,F4,0.6092067120770079,0.00730556846743683,,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,,,
SS,viscosity_laplacian_acceleration,FAMILY_FOLD,F1|FOLD_0,0.6812358769077586,0.007224427367390184,,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,,,
SS,viscosity_laplacian_acceleration,FAMILY_FOLD,F2|FOLD_0,0.3339263291580526,0.003541249944163213,,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,,,
SS,viscosity_laplacian_acceleration,FAMILY_FOLD,F3|FOLD_0,0.2777127717345631,0.0029451116953792245,,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,,,
SS,viscosity_laplacian_acceleration,FAMILY_FOLD,F4|FOLD_0,0.6527852928869273,0.006922712227619062,,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,,,
SS,viscosity_laplacian_acceleration,FAMILY_FOLD,F1|FOLD_1,0.6350502117127392,0.006822707078434279,,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,,,
SS,viscosity_laplacian_acceleration,FAMILY_FOLD,F2|FOLD_1,0.28957269013681103,0.0031110447745372263,,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,,,
SS,viscosity_laplacian_acceleration,FAMILY_FOLD,F3|FOLD_1,0.11111052901419681,0.001193723864368457,,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,,,
SS,viscosity_laplacian_acceleration,FAMILY_FOLD,F4|FOLD_1,0.03952792642864341,0.0004246710865794123,,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,,,
SS,viscosity_laplacian_acceleration,FAMILY_FOLD,F1|FOLD_2,0.2979250893001034,0.0032224901561583186,,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,,,
SS,viscosity_laplacian_acceleration,FAMILY_FOLD,F2|FOLD_2,0.1843287627238105,0.0019937818086075356,,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,,,
