evidence_class,record_type,arm,scope_type,scope_id,correlation_status,diagnostic_only,feature_count,fraction_of_all_group_energy,group_energy_pearson_correlation,group_id,group_id_2,group_name,maximum_absolute_within_group_feature_correlation,mean_total_squared_contribution,normalization_semantics,zero_energy_status
EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,SEMANTIC_GROUP_ENERGY,MS,TRAIN_EXCLUDING_FOLD,FOLD_3,,True,15,0.3459266073465437,,G2,,BASELINE_SCALE_DIFFERENCES,1.0000000000006877,8.753187903481706e+31,FROZEN_TRAIN_FOLD_MEDIAN_IQR,POSITIVE_ENERGY
EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,SEMANTIC_GROUP_ENERGY,MS,TRAIN_EXCLUDING_FOLD,FOLD_3,,True,35,0.39859410474463847,,G3,,LOG_SCALE_DIVIDED_DIFFERENCES,1.0000000000007334,1.0085865099572109e+32,FROZEN_TRAIN_FOLD_MEDIAN_IQR,POSITIVE_ENERGY
EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,SEMANTIC_GROUP_ENERGY,MS,TRAIN_EXCLUDING_FOLD,FOLD_3,,True,6,4.2604501354437105e-33,,G4,,TOPOLOGY_SUPPORT_SUMMARIES,0.9979437533456691,1.0780471868009227,FROZEN_TRAIN_FOLD_MEDIAN_IQR,POSITIVE_ENERGY
EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,SCALE_RESPONSE_GROUP_ENERGY_COLLINEARITY,MS,TRAIN_EXCLUDING_FOLD,FOLD_3,APPLICABLE,True,,,0.9938500341573732,G0,G1,,,,FROZEN_TRAIN_FOLD_MEDIAN_IQR,
EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,SCALE_RESPONSE_GROUP_ENERGY_COLLINEARITY,MS,TRAIN_EXCLUDING_FOLD,FOLD_3,APPLICABLE,True,,,0.9980938974745892,G0,G2,,,,FROZEN_TRAIN_FOLD_MEDIAN_IQR,
EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,SCALE_RESPONSE_GROUP_ENERGY_COLLINEARITY,MS,TRAIN_EXCLUDING_FOLD,FOLD_3,APPLICABLE,True,,,0.9951402630571711,G0,G3,,,,FROZEN_TRAIN_FOLD_MEDIAN_IQR,
EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,SCALE_RESPONSE_GROUP_ENERGY_COLLINEARITY,MS,TRAIN_EXCLUDING_FOLD,FOLD_3,APPLICABLE,True,,,0.012362613728956617,G0,G4,,,,FROZEN_TRAIN_FOLD_MEDIAN_IQR,
EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,SCALE_RESPONSE_GROUP_ENERGY_COLLINEARITY,MS,TRAIN_EXCLUDING_FOLD,FOLD_3,APPLICABLE,True,,,0.9854381313145835,G1,G2,,,,FROZEN_TRAIN_FOLD_MEDIAN_IQR,
EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,SCALE_RESPONSE_GROUP_ENERGY_COLLINEARITY,MS,TRAIN_EXCLUDING_FOLD,FOLD_3,APPLICABLE,True,,,0.9791951940838808,G1,G3,,,,FROZEN_TRAIN_FOLD_MEDIAN_IQR,
EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,SCALE_RESPONSE_GROUP_ENERGY_COLLINEARITY,MS,TRAIN_EXCLUDING_FOLD,FOLD_3,APPLICABLE,True,,,0.01730016452934674,G1,G4,,,,FROZEN_TRAIN_FOLD_MEDIAN_IQR,
