evidence_class,record_type,arm,candidate_id,scope_type,scope_id,comparison_id,complete_turnover_fraction,diagnostic_only,identical_set_fraction,k,mean_neighbour_turnover,mean_shared_neighbour_fraction,median_neighbour_turnover,median_shared_neighbour_fraction,query_count,tie_semantics
EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,NEIGHBOUR_SET_TURNOVER,MS->MS,U0->U2,FOLD,FOLD_2,FORMAL_U0_TO_U2,0.3649193548387097,True,0.15700604838709678,10,0.5699596774193549,0.4300403225806452,0.7,0.3,7936,DISTANCE_THEN_CASE_ID_THEN_PARTICLE_ID
EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,NEIGHBOUR_SET_TURNOVER,MS->MS,U0->U2,FOLD,FOLD_3,FORMAL_U0_TO_U2,0.18564618644067796,True,0.2533103813559322,10,0.35039724576271186,0.6496027542372882,0.19999999999999996,0.8,7552,DISTANCE_THEN_CASE_ID_THEN_PARTICLE_ID
EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,NEIGHBOUR_SET_TURNOVER,MS->MS,U0->U2,FOLD,FOLD_4,FORMAL_U0_TO_U2,0.24059851694915255,True,0.20365466101694915,10,0.4426906779661017,0.5573093220338984,0.30000000000000004,0.7,7552,DISTANCE_THEN_CASE_ID_THEN_PARTICLE_ID
EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,NEIGHBOUR_SET_TURNOVER,MS->MS,U0->U2,FOLD,FOLD_5,FORMAL_U0_TO_U2,0.31393229166666664,True,0.10494791666666667,10,0.598203125,0.401796875,0.7,0.3,7680,DISTANCE_THEN_CASE_ID_THEN_PARTICLE_ID
EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,NEIGHBOUR_SET_TURNOVER,MS->MS,U0->U2,FAMILY,F1,FORMAL_U0_TO_U2,0.4700520833333333,True,0.15030924479166666,10,0.6148600260416667,0.3851399739583334,0.9,0.1,12288,DISTANCE_THEN_CASE_ID_THEN_PARTICLE_ID
EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,NEIGHBOUR_SET_TURNOVER,MS->MS,U0->U2,FAMILY,F2,FORMAL_U0_TO_U2,0.3456217447916667,True,0.14322916666666666,10,0.5810058593749999,0.418994140625,0.7,0.3,12288,DISTANCE_THEN_CASE_ID_THEN_PARTICLE_ID
EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,NEIGHBOUR_SET_TURNOVER,MS->MS,U0->U2,FAMILY,F3,FORMAL_U0_TO_U2,0.2674153645833333,True,0.18709309895833334,10,0.4565592447916667,0.5434407552083333,0.30000000000000004,0.7,12288,DISTANCE_THEN_CASE_ID_THEN_PARTICLE_ID
EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,NEIGHBOUR_SET_TURNOVER,MS->MS,U0->U2,FAMILY,F4,FORMAL_U0_TO_U2,0.23819986979166666,True,0.1337890625,10,0.5365152994791668,0.46348470052083335,0.6,0.4,12288,DISTANCE_THEN_CASE_ID_THEN_PARTICLE_ID
EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,NEIGHBOUR_SET_TURNOVER,MS->MS,U0->U3,OVERALL,ALL,FORMAL_U0_TO_U3,0.13920084635416666,True,0.18440755208333334,10,0.41021728515625,0.58978271484375,0.30000000000000004,0.7,49152,DISTANCE_THEN_CASE_ID_THEN_PARTICLE_ID
EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,NEIGHBOUR_SET_TURNOVER,MS->MS,U0->U3,FOLD,FOLD_0,FORMAL_U0_TO_U3,0.1258445945945946,True,0.12637246621621623,10,0.4625422297297297,0.5374577702702703,0.4,0.6,9472,DISTANCE_THEN_CASE_ID_THEN_PARTICLE_ID
EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,NEIGHBOUR_SET_TURNOVER,MS->MS,U0->U3,FOLD,FOLD_1,FORMAL_U0_TO_U3,0.08247767857142857,True,0.26127232142857143,10,0.3560714285714286,0.6439285714285715,0.19999999999999996,0.8,8960,DISTANCE_THEN_CASE_ID_THEN_PARTICLE_ID
EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,NEIGHBOUR_SET_TURNOVER,MS->MS,U0->U3,FOLD,FOLD_2,FORMAL_U0_TO_U3,0.13999495967741934,True,0.14490927419354838,10,0.42051411290322577,0.5794858870967742,0.30000000000000004,0.7,7936,DISTANCE_THEN_CASE_ID_THEN_PARTICLE_ID
EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,NEIGHBOUR_SET_TURNOVER,MS->MS,U0->U3,FOLD,FOLD_3,FORMAL_U0_TO_U3,0.1972987288135593,True,0.22047139830508475,10,0.4015492584745763,0.5984507415254238,0.19999999999999996,0.8,7552,DISTANCE_THEN_CASE_ID_THEN_PARTICLE_ID
EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,NEIGHBOUR_SET_TURNOVER,MS->MS,U0->U3,FOLD,FOLD_4,FORMAL_U0_TO_U3,0.1917372881355932,True,0.18048199152542374,10,0.42884004237288137,0.5711599576271187,0.30000000000000004,0.7,7552,DISTANCE_THEN_CASE_ID_THEN_PARTICLE_ID
EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,NEIGHBOUR_SET_TURNOVER,MS->MS,U0->U3,FOLD,FOLD_5,FORMAL_U0_TO_U3,0.11223958333333334,True,0.17552083333333332,10,0.38842447916666667,0.6115755208333333,0.19999999999999996,0.8,7680,DISTANCE_THEN_CASE_ID_THEN_PARTICLE_ID
EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,NEIGHBOUR_SET_TURNOVER,MS->MS,U0->U3,FAMILY,F1,FORMAL_U0_TO_U3,0.09293619791666667,True,0.208984375,10,0.3041910807291667,0.6958089192708333,0.19999999999999996,0.8,12288,DISTANCE_THEN_CASE_ID_THEN_PARTICLE_ID
EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,NEIGHBOUR_SET_TURNOVER,MS->MS,U0->U3,FAMILY,F2,FORMAL_U0_TO_U3,0.13427734375,True,0.21720377604166666,10,0.41172688802083335,0.5882731119791668,0.30000000000000004,0.7,12288,DISTANCE_THEN_CASE_ID_THEN_PARTICLE_ID
EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,NEIGHBOUR_SET_TURNOVER,MS->MS,U0->U3,FAMILY,F3,FORMAL_U0_TO_U3,0.040364583333333336,True,0.2682291666666667,10,0.23515625000000004,0.7648437500000002,0.09999999999999998,0.9,12288,DISTANCE_THEN_CASE_ID_THEN_PARTICLE_ID
EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,NEIGHBOUR_SET_TURNOVER,MS->MS,U0->U3,FAMILY,F4,FORMAL_U0_TO_U3,0.2892252604166667,True,0.043212890625,10,0.689794921875,0.31020507812500003,0.8,0.2,12288,DISTANCE_THEN_CASE_ID_THEN_PARTICLE_ID
