evidence_class,record_type,arm,scope_type,scope_id,covariance_eigenvalue,cumulative_variance_rank_90,cumulative_variance_rank_95,cumulative_variance_rank_99,diagnostic_only,exact_duplicate_burden,exact_duplicate_member_count,feature_dimension,fold_iqr_degenerate_feature_count,normalization_semantics,participation_ratio,row_count,singular_value,spectrum_index,stable_rank
EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,COVARIANCE_AND_SINGULAR_SPECTRUM,SS,TRAIN_EXCLUDING_FOLD,FOLD_0,5.3534260726745476e+29,1,1,1,True,1133,2189,39,9,FROZEN_TRAIN_FOLD_MEDIAN_IQR,1.0059195475896388,39680,1.4574770892323696e+17,1,1.002959650033169
EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,COVARIANCE_AND_SINGULAR_SPECTRUM,SS,TRAIN_EXCLUDING_FOLD,FOLD_0,1.5571235001959987e+27,1,1,1,True,1133,2189,39,9,FROZEN_TRAIN_FOLD_MEDIAN_IQR,1.0059195475896388,39680,7860449127612062.0,2,1.002959650033169
EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,COVARIANCE_AND_SINGULAR_SPECTRUM,SS,TRAIN_EXCLUDING_FOLD,FOLD_0,2.1004860024356467e+25,1,1,1,True,1133,2189,39,9,FROZEN_TRAIN_FOLD_MEDIAN_IQR,1.0059195475896388,39680,912947340084007.6,3,1.002959650033169
EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,COVARIANCE_AND_SINGULAR_SPECTRUM,SS,TRAIN_EXCLUDING_FOLD,FOLD_0,6.298405134219697e+24,1,1,1,True,1133,2189,39,9,FROZEN_TRAIN_FOLD_MEDIAN_IQR,1.0059195475896388,39680,499920709438844.5,4,1.002959650033169
EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,COVARIANCE_AND_SINGULAR_SPECTRUM,SS,TRAIN_EXCLUDING_FOLD,FOLD_0,269485632891214.28,1,1,1,True,1133,2189,39,9,FROZEN_TRAIN_FOLD_MEDIAN_IQR,1.0059195475896388,39680,3270044328.923292,5,1.002959650033169
EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,COVARIANCE_AND_SINGULAR_SPECTRUM,SS,TRAIN_EXCLUDING_FOLD,FOLD_0,194344497500042.97,1,1,1,True,1133,2189,39,9,FROZEN_TRAIN_FOLD_MEDIAN_IQR,1.0059195475896388,39680,2776974911.8063173,6,1.002959650033169
EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,COVARIANCE_AND_SINGULAR_SPECTRUM,SS,TRAIN_EXCLUDING_FOLD,FOLD_0,142064120158442.22,1,1,1,True,1133,2189,39,9,FROZEN_TRAIN_FOLD_MEDIAN_IQR,1.0059195475896388,39680,2374258681.754578,7,1.002959650033169
EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,COVARIANCE_AND_SINGULAR_SPECTRUM,SS,TRAIN_EXCLUDING_FOLD,FOLD_0,122484398199983.5,1,1,1,True,1133,2189,39,9,FROZEN_TRAIN_FOLD_MEDIAN_IQR,1.0059195475896388,39680,2204581801.7427583,8,1.002959650033169
EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,COVARIANCE_AND_SINGULAR_SPECTRUM,SS,TRAIN_EXCLUDING_FOLD,FOLD_0,108716171138701.77,1,1,1,True,1133,2189,39,9,FROZEN_TRAIN_FOLD_MEDIAN_IQR,1.0059195475896388,39680,2076982828.7166185,9,1.002959650033169
EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,COVARIANCE_AND_SINGULAR_SPECTRUM,SS,TRAIN_EXCLUDING_FOLD,FOLD_0,92252288974410.28,1,1,1,True,1133,2189,39,9,FROZEN_TRAIN_FOLD_MEDIAN_IQR,1.0059195475896388,39680,1913261829.0512671,10,1.002959650033169
