geometry,selected_candidate_id,component,scope,scope_id,descriptor_distance_target_disagreement_spearman,spearman_status,k10_wn,matched_random_wb,candidate_c_d,cvar,within_neighbour_target_dispersion,near_collision_rate,status,comparison_to_u0,evidence_class
U0_MS,U0,pressure_gradient_acceleration,FOLD,FOLD_3,-0.26500824098532527,EVALUABLE,0.26219445694397814,1.6371493123545464,0.1601530507726814,0.0541404238178524,0.0626247898448575,9.931144067796611e-05,EVALUABLE,REFERENCE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
U0_MS,U0,pressure_gradient_acceleration,FOLD,FOLD_4,-0.17868246702519397,EVALUABLE,0.2919799993096148,1.6714036836851056,0.1746914896500995,0.13493773599226225,0.157037261094432,0.000211864406779661,EVALUABLE,REFERENCE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
U0_MS,U0,pressure_gradient_acceleration,FOLD,FOLD_5,0.10509905080534986,EVALUABLE,1.2573578390115714,1.927410925205966,0.6523558741772766,0.628669039614292,0.705146769114172,0.004596354166666667,EVALUABLE,REFERENCE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
U0_MS,U0,pressure_gradient_acceleration,FAMILY,F1,-0.25665012682436494,EVALUABLE,0.7845081302268202,2.637475354213463,0.29744662029676977,0.12228852206290802,0.12199005722391776,0.006209309895833333,EVALUABLE,REFERENCE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
U0_MS,U0,pressure_gradient_acceleration,FAMILY,F2,0.14363033493969518,EVALUABLE,0.2741663812540111,1.4403789269978715,0.19034323268353137,0.05631318922604835,0.06503977904922104,3.255208333333333e-05,EVALUABLE,REFERENCE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
U0_MS,U0,pressure_gradient_acceleration,FAMILY,F3,0.35714780833262194,EVALUABLE,0.40229775099660053,1.6902629360980488,0.23800897623969675,0.22516265386533718,0.19429446022511124,2.0345052083333332e-05,EVALUABLE,REFERENCE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
U0_MS,U0,pressure_gradient_acceleration,FAMILY,F4,-0.4857803263416838,EVALUABLE,2.2886021249664013,2.186231125395513,1.0468253325925767,0.9876920118250453,1.0130889065608628,1.6276041666666666e-05,EVALUABLE,REFERENCE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
U0_MS,U0,pressure_gradient_acceleration,FAMILY_FOLD,F1|FOLD_0,0.00979760554192367,EVALUABLE,0.12308317642869282,1.5098633073604333,0.08151941690924906,0.07154637306752969,0.09111161884492971,0.0,EVALUABLE,REFERENCE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
U0_MS,U0,pressure_gradient_acceleration,FAMILY_FOLD,F2|FOLD_0,-0.16036592112354958,EVALUABLE,0.3102554562750316,1.6677414551049883,0.1860333058972263,0.08294897667175823,0.10563240625714007,0.0,EVALUABLE,REFERENCE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
U0_MS,U0,pressure_gradient_acceleration,FAMILY_FOLD,F3|FOLD_0,0.49289341319329466,EVALUABLE,0.47993188633377426,1.4811870602707382,0.3240184168541481,0.25752921395249523,0.3279537812619444,0.0,EVALUABLE,REFERENCE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
U0_MS,U0,pressure_gradient_acceleration,FAMILY_FOLD,F4|FOLD_0,-0.23868372402883303,EVALUABLE,2.474984190113828,1.70240982279305,1.4538122119462737,1.2204172508638262,1.554155530533047,0.0,EVALUABLE,REFERENCE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
U0_MS,U0,pressure_gradient_acceleration,FAMILY_FOLD,F1|FOLD_1,0.009748726064762002,EVALUABLE,2.9269144641573503,5.755459783603395,0.508545724269636,0.2026768086211078,0.10664596784546018,0.01875,EVALUABLE,REFERENCE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
U0_MS,U0,pressure_gradient_acceleration,FAMILY_FOLD,F2|FOLD_1,0.5882516129138741,EVALUABLE,0.011257544107731205,0.5365749274415414,0.020980376704160645,0.015502948115165156,0.008157454804266911,0.0,EVALUABLE,REFERENCE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
U0_MS,U0,pressure_gradient_acceleration,FAMILY_FOLD,F3|FOLD_1,0.7689815427217154,EVALUABLE,0.6811621504668223,1.4583387929085603,0.4670808688482389,0.6804473845625133,0.3580427893466633,0.0,EVALUABLE,REFERENCE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
U0_MS,U0,pressure_gradient_acceleration,FAMILY_FOLD,F4|FOLD_1,0.3107074634362472,EVALUABLE,6.343809878078507,6.83609552722344,0.9279873069086733,1.38306122382231,0.7277492862037089,4.8828125e-05,EVALUABLE,REFERENCE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
U0_MS,U0,pressure_gradient_acceleration,FAMILY_FOLD,F1|FOLD_2,-0.3179341030822474,EVALUABLE,0.12071296900432905,1.5070895779405433,0.08009674459383152,0.030990418753706096,0.03696084446218472,0.0015104166666666666,EVALUABLE,REFERENCE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
U0_MS,U0,pressure_gradient_acceleration,FAMILY_FOLD,F2|FOLD_2,0.08473090177074094,EVALUABLE,0.23120778283845222,1.649031966786555,0.14020818728517648,0.061544813557457355,0.07340166325049431,0.00010850694444444444,EVALUABLE,REFERENCE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
U0_MS,U0,pressure_gradient_acceleration,FAMILY_FOLD,F3|FOLD_2,-0.07715388646134093,EVALUABLE,0.21248905585925432,1.473794458523775,0.1441782160533388,0.08872621292726729,0.10581966580658841,9.191176470588235e-05,EVALUABLE,REFERENCE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
U0_MS,U0,pressure_gradient_acceleration,FAMILY_FOLD,F4|FOLD_2,0.15801179673342605,EVALUABLE,1.3355085899385681,1.2046476912898874,1.1086300165557619,0.9823578392632705,1.1716129295244029,0.0,EVALUABLE,REFERENCE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
U0_MS,U0,pressure_gradient_acceleration,FAMILY_FOLD,F1|FOLD_3,-0.14469793600797054,EVALUABLE,0.15133900650934812,1.7686566398876666,0.08556720569514283,0.07257863805826617,0.08395246352183418,0.000341796875,EVALUABLE,REFERENCE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
U0_MS,U0,pressure_gradient_acceleration,FAMILY_FOLD,F2|FOLD_3,-0.31991055476067354,EVALUABLE,0.3017276082788319,1.4130228514924459,0.2135334244312785,0.042641456539022723,0.04932381511122147,0.0,EVALUABLE,REFERENCE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
U0_MS,U0,pressure_gradient_acceleration,FAMILY_FOLD,F3|FOLD_3,0.18769896726492333,EVALUABLE,0.5957112129877324,2.281330831795071,0.26112442995345636,0.1013416006741207,0.11722288074637435,2.2977941176470588e-05,EVALUABLE,REFERENCE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
U0_MS,U0,pressure_gradient_acceleration,FAMILY_FOLD,F4|FOLD_3,,NOT_EVALUABLE_CONSTANT_OR_INSUFFICIENT,0.0,1.0855869262430022,0.0,0.0,0.0,0.0,EVALUABLE,REFERENCE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
U0_MS,U0,pressure_gradient_acceleration,FAMILY_FOLD,F1|FOLD_4,-0.26144879740759436,EVALUABLE,0.733710140644731,2.655757710480002,0.27627149033566023,0.33306451849934765,0.38761240040275,0.0006663602941176471,EVALUABLE,REFERENCE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
U0_MS,U0,pressure_gradient_acceleration,FAMILY_FOLD,F2|FOLD_4,0.25964017838002673,EVALUABLE,0.11516428078637737,1.261926654534098,0.09126067697563288,0.04819655088911488,0.05608997579638526,6.893382352941176e-05,EVALUABLE,REFERENCE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
U0_MS,U0,pressure_gradient_acceleration,FAMILY_FOLD,F3|FOLD_4,0.44497270346214873,EVALUABLE,0.31904557580735105,1.5911680078497408,0.20051030075604662,0.15848987458058647,0.1844466681785927,0.0,EVALUABLE,REFERENCE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
U0_MS,U0,pressure_gradient_acceleration,FAMILY_FOLD,F4|FOLD_4,,NOT_EVALUABLE_CONSTANT_OR_INSUFFICIENT,0.0,1.1767623618765823,0.0,0.0,0.0,0.0,EVALUABLE,REFERENCE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
U0_MS,U0,pressure_gradient_acceleration,FAMILY_FOLD,F1|FOLD_5,-0.35385663407559265,EVALUABLE,0.6512890246164695,2.628025106008739,0.24782450636691283,0.022874375377490784,0.025657048266347772,0.0172119140625,EVALUABLE,REFERENCE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
U0_MS,U0,pressure_gradient_acceleration,FAMILY_FOLD,F2|FOLD_5,0.09659283798432071,EVALUABLE,0.6753856152376424,2.113975706627601,0.31948598705283926,0.08704438958377177,0.0976333590758182,0.0,EVALUABLE,REFERENCE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
U0_MS,U0,pressure_gradient_acceleration,FAMILY_FOLD,F3|FOLD_5,0.30406384573283435,EVALUABLE,0.12544662452466873,1.8557584652404082,0.06759857323804123,0.06444163649504005,0.07228097601050426,0.0,EVALUABLE,REFERENCE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
U0_MS,U0,pressure_gradient_acceleration,FAMILY_FOLD,F4|FOLD_5,0.5236029434700131,EVALUABLE,3.577310091667505,1.1118844229471165,3.2173398761947123,2.3403157570008655,2.6250156931040176,3.255208333333333e-05,EVALUABLE,REFERENCE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
U0_MS,U0,viscosity_laplacian_acceleration,OVERALL,ALL,0.3428401312258016,EVALUABLE,0.00016446372322795092,0.00022388723419632396,0.7345828529184236,0.4820789390137817,4.664687312517644e-05,0.0009175618489583333,EVALUABLE,REFERENCE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
U0_MS,U0,viscosity_laplacian_acceleration,FOLD,FOLD_0,0.3149243027371148,EVALUABLE,9.375660779356752e-05,0.0001961970419635798,0.4778696297111943,0.21370365693008603,2.4033764356148337e-05,0.0,EVALUABLE,REFERENCE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
U0_MS,U0,viscosity_laplacian_acceleration,FOLD,FOLD_1,0.12210153285698071,EVALUABLE,9.266403341064341e-05,0.00019516553923424273,0.4747971069801705,0.35340744266979507,4.079112292753101e-05,0.0,EVALUABLE,REFERENCE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
U0_MS,U0,viscosity_laplacian_acceleration,FOLD,FOLD_2,0.46685437025225046,EVALUABLE,0.00014726506126531207,0.00017499198736370533,0.8415531675700939,0.6420894270789786,7.51209295452703e-05,0.005682963709677419,EVALUABLE,REFERENCE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
