evidence_class,record_type,arm,candidate_id,scope_type,scope_id,all_three_stratum_criteria_pass,composite_rank_sum,concentration_pass,concentration_relative_tolerance,deterministic_tie_order,diagnostic_only,family_concentration_pass_count,family_group_domination_pass_count,family_hubness_pass_count,family_transform_stability_median,fold_concentration_pass_count,fold_family_transport_coefficient_of_variation,fold_group_domination_pass_count,fold_hubness_pass_count,fold_transform_stability_median,group_domination_absolute_tolerance,hubness_absolute_tolerance,hubness_pass,improvement_criterion_count,k10_to_random_median_ratio,median_fold_k10_to_random_median_ratio,median_fold_neighbour_occurrence_gini,median_fold_semantic_group_domination,minimum_family_replication,minimum_fold_replication,minimum_strict_improvement_criteria,minimum_transform_similarity,nearest_to_random_median_ratio,neighbour_occurrence_gini,rank__fold_family_transport_coefficient_of_variation,rank__median_fold_k10_to_random_median_ratio,rank__median_fold_neighbour_occurrence_gini,rank__median_fold_semantic_group_domination,replication_and_stability_gates_pass,selected,selection_eligible,selection_status,semantic_group_domination,semantic_group_domination_pass,strict_improvement_tolerance,target_used_for_selection,u0_k10_to_random_median_ratio,u0_nearest_to_random_median_ratio,u0_neighbour_occurrence_gini,u0_semantic_group_domination
EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,TARGET_BLIND_SELECTION_STRATUM,MS,U2,FOLD,FOLD_3,False,,True,,,True,,,,,,,,,,,,True,,0.005795428954359643,,,,,,,,0.0010595853434224448,0.8318174044573011,,,,,,,,,0.7175582530605796,False,,False,0.012155544856392772,0.0028439981875637045,0.8574053491943041,0.6307106077729072
EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,TARGET_BLIND_SELECTION_STRATUM,MS,U2,FOLD,FOLD_4,False,,True,,,True,,,,,,,,,,,,True,,0.0009931132273525095,,,,,,,,3.7255020798400554e-05,0.8386682444029091,,,,,,,,,0.8133384659952686,False,,False,0.0059531401523184,0.0015607312402544015,0.8487034948714554,0.6516513061763634
EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,TARGET_BLIND_SELECTION_STRATUM,MS,U2,FOLD,FOLD_5,False,,True,,,True,,,,,,,,,,,,True,,0.0004489395758577109,,,,,,,,2.6556820477394594e-05,0.7897465483740034,,,,,,,,,1.0,False,,False,0.0042028823069334715,0.0008136450762739072,0.8111455325530881,0.84247174595984
EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,TARGET_BLIND_SELECTION_STRATUM,MS,U2,FAMILY,F1,False,,True,,,True,,,,,,,,,,,,True,,8.7706508112312e-05,,,,,,,,5.149792030305455e-12,0.7728636344273885,,,,,,,,,0.7703948874523976,False,,False,0.0004924983769687654,3.8084129766044423e-10,0.8178902768426471,0.6587876529839537
EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,TARGET_BLIND_SELECTION_STRATUM,MS,U2,FAMILY,F2,False,,True,,,True,,,,,,,,,,,,True,,0.0006907813281369923,,,,,,,,0.00022018918319755942,0.6619435316986508,,,,,,,,,0.9008549704081955,False,,False,0.005903130714388163,0.0029696349147871667,0.7242338531547122,0.6566844886546161
EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,TARGET_BLIND_SELECTION_STRATUM,MS,U2,FAMILY,F3,False,,True,,,True,,,,,,,,,,,,True,,0.0004888429127046802,,,,,,,,1.0035236269838704e-06,0.7164164228571785,,,,,,,,,0.8012977522701663,False,,False,0.0028795688813065823,0.00012039378545543569,0.7708302537600199,0.7584033519040609
EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,TARGET_BLIND_SELECTION_STRATUM,MS,U2,FAMILY,F4,False,,True,,,True,,,,,,,,,,,,True,,0.02791958238041055,,,,,,,,0.012194699762144653,0.7957923663987054,,,,,,,,,0.8977637668044309,False,,False,0.06125693179432283,0.037539163328612804,0.8230732245577707,0.6863921846703755
EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,TARGET_BLIND_SELECTION_STRATUM,MS,U3,FOLD,FOLD_0,False,,False,,,True,,,,,,,,,,,,True,,0.02555901789407901,,,,,,,,0.007678339126910205,0.7586127815811968,,,,,,,,,0.6276515821029088,True,,False,0.016039462462086457,0.004144288609730765,0.7605497953220357,0.6830517255492758
EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,TARGET_BLIND_SELECTION_STRATUM,MS,U3,FOLD,FOLD_1,False,,False,,,True,,,,,,,,,,,,True,,0.012549778873912062,,,,,,,,0.004104968652381011,0.7839855362785416,,,,,,,,,0.8851828178422736,True,,False,0.012545324964298134,0.003914279984369619,0.7788560123460959,0.8989711007550183
EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,TARGET_BLIND_SELECTION_STRATUM,MS,U3,FOLD,FOLD_2,False,,False,,,True,,,,,,,,,,,,True,,0.011773060462119546,,,,,,,,0.004391591185056526,0.8069815040852832,,,,,,,,,0.4638890087530475,True,,False,0.007772981700311826,0.001998773913842961,0.8023920804029284,0.5781741200268371
