design_only_label,stratum,arm,component,case_count,candidate_c_wn,candidate_c_wb,candidate_c_d,cvar,near_collision_rate,model_input_authorized,status,oracle_residual_rms,oracle_status,evidence_class
fold,"""FOLD_1""",SS,density_rate,70,0.004465741147969139,0.015917734934399724,0.2805512949156008,0.276157681452335,0.0,False,EVALUABLE,0.04958282032255479,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
fold,"""FOLD_1""",SS,pressure_gradient_acceleration,70,2.9494905312816893,4.0449065242594315,0.7291863269502135,0.6591062751922495,0.0,False,EVALUABLE,1.268734504607003,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
fold,"""FOLD_1""",SS,viscosity_laplacian_acceleration,70,0.00011849459279671679,0.000183244780634891,0.6466464822963403,0.45036789875307415,0.0011495535714285713,False,EVALUABLE,0.0035265257921761025,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
fold,"""FOLD_1""",MS,density_rate,70,0.0021753123802936915,0.015917734934399724,0.1366596685557715,0.19608422619094495,0.0,False,EVALUABLE,0.0064954372699866795,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
fold,"""FOLD_1""",MS,pressure_gradient_acceleration,70,2.9489604621352,4.0449065242594315,0.7290552808695907,0.6549660223526723,0.0040345982142857145,False,EVALUABLE,0.7244479841253146,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
fold,"""FOLD_1""",MS,viscosity_laplacian_acceleration,70,9.29600180762778e-05,0.000183244780634891,0.507299677263373,0.4042988916076013,0.0,False,EVALUABLE,0.0008863978434584307,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
fold,"""FOLD_2""",SS,density_rate,62,0.004799930807528476,0.01611944587036284,0.29777269306469234,0.23364626955683301,0.0,False,EVALUABLE,0.03303893858802357,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
fold,"""FOLD_2""",SS,pressure_gradient_acceleration,62,0.7845120288826696,1.5834642734972448,0.49544030895625674,0.299350044540077,0.0006930443548387097,False,EVALUABLE,0.4012666913803939,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
fold,"""FOLD_2""",SS,viscosity_laplacian_acceleration,62,0.0001327374402048905,0.00016754859700815212,0.7922324780698231,0.5531139834062205,0.0058341733870967746,False,EVALUABLE,0.0027086407179489147,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
fold,"""FOLD_2""",MS,density_rate,62,0.000336156331654281,0.01611944587036284,0.020854087315267885,0.009379170760726876,0.0,False,EVALUABLE,0.008222639111626495,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
