geometry,component,scope,scope_id,descriptor_near_quantile,target_far_quantile,descriptor_distance_threshold,target_disagreement_threshold,near_collision_rate,near_collision_count,legal_pair_count,comparison_population,interpretation,status,evidence_class
U0_SS,density_rate,LINEAGE,HMSO01R_A|FIELD_LINEAGE|093dc802dc5954d756689fb97f687ee9b46c368f5fe625c807448d3bc43a1926,0.1,0.9,7.743121034250964,0.016745125748645347,0.0,0,2560,FROZEN_K10_NEIGHBOURS_PLUS_FROZEN_K10_MATCHED_RANDOM_EDGES,PERSISTENT_OPERATIONAL_NEAR_COLLISION_EVIDENCE,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
U0_SS,density_rate,LINEAGE,HMSO01R_A|FIELD_LINEAGE|0a252563daa08b1ab13bdaf89c42f5f5445076fcfec6feb203abcad9de8ed55a,0.1,0.9,7.743121034250964,0.016745125748645347,0.0,0,7680,FROZEN_K10_NEIGHBOURS_PLUS_FROZEN_K10_MATCHED_RANDOM_EDGES,PERSISTENT_OPERATIONAL_NEAR_COLLISION_EVIDENCE,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
U0_SS,density_rate,LINEAGE,HMSO01R_A|FIELD_LINEAGE|0ac3210ffe07941071125618f2e4ad4f522063f7735eb12854083a5cf3b96fca,0.1,0.9,7.743121034250964,0.016745125748645347,0.0,0,2560,FROZEN_K10_NEIGHBOURS_PLUS_FROZEN_K10_MATCHED_RANDOM_EDGES,PERSISTENT_OPERATIONAL_NEAR_COLLISION_EVIDENCE,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
U0_SS,density_rate,LINEAGE,HMSO01R_A|FIELD_LINEAGE|0af73c913450206e45697078b9ff423d2fbe56a236026748e22945b9fe394efb,0.1,0.9,7.743121034250964,0.016745125748645347,0.0,0,2560,FROZEN_K10_NEIGHBOURS_PLUS_FROZEN_K10_MATCHED_RANDOM_EDGES,PERSISTENT_OPERATIONAL_NEAR_COLLISION_EVIDENCE,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
U0_SS,density_rate,LINEAGE,HMSO01R_A|FIELD_LINEAGE|0d095ad04875a9db82a8c6062fc3703d3296558fc88db157a4ad79a6317e27a5,0.1,0.9,7.743121034250964,0.016745125748645347,0.0,0,5120,FROZEN_K10_NEIGHBOURS_PLUS_FROZEN_K10_MATCHED_RANDOM_EDGES,PERSISTENT_OPERATIONAL_NEAR_COLLISION_EVIDENCE,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
U0_SS,density_rate,LINEAGE,HMSO01R_A|FIELD_LINEAGE|0d9a0fc9b5f4f20cb32cc24ac6db7a1e45276ec79661381e7e476b453759d6b0,0.1,0.9,7.743121034250964,0.016745125748645347,0.0,0,2560,FROZEN_K10_NEIGHBOURS_PLUS_FROZEN_K10_MATCHED_RANDOM_EDGES,PERSISTENT_OPERATIONAL_NEAR_COLLISION_EVIDENCE,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
U0_SS,density_rate,LINEAGE,HMSO01R_A|FIELD_LINEAGE|0da6210822c1316c7a077be78ae0c871024433732125f17a7f978f92e0d637e1,0.1,0.9,7.743121034250964,0.016745125748645347,0.0,0,2560,FROZEN_K10_NEIGHBOURS_PLUS_FROZEN_K10_MATCHED_RANDOM_EDGES,PERSISTENT_OPERATIONAL_NEAR_COLLISION_EVIDENCE,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
U0_SS,density_rate,LINEAGE,HMSO01R_A|FIELD_LINEAGE|0ddf6cdd096735cc15f4456489e1d58f77aa80618dad5da96cca18e59be60b9c,0.1,0.9,7.743121034250964,0.016745125748645347,0.0,0,2560,FROZEN_K10_NEIGHBOURS_PLUS_FROZEN_K10_MATCHED_RANDOM_EDGES,PERSISTENT_OPERATIONAL_NEAR_COLLISION_EVIDENCE,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
U0_SS,density_rate,LINEAGE,HMSO01R_A|FIELD_LINEAGE|0e65acebdbaa92caa4bcb30c2a0feac4a5469aac1dd76780539181916f956f58,0.1,0.9,7.743121034250964,0.016745125748645347,0.0,0,2560,FROZEN_K10_NEIGHBOURS_PLUS_FROZEN_K10_MATCHED_RANDOM_EDGES,PERSISTENT_OPERATIONAL_NEAR_COLLISION_EVIDENCE,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
U0_SS,density_rate,LINEAGE,HMSO01R_A|FIELD_LINEAGE|0e85d8db167a222553e045c2d06d7055fe817db60fe9573c8fc78f52ed1f8615,0.1,0.9,7.743121034250964,0.016745125748645347,0.0,0,2560,FROZEN_K10_NEIGHBOURS_PLUS_FROZEN_K10_MATCHED_RANDOM_EDGES,PERSISTENT_OPERATIONAL_NEAR_COLLISION_EVIDENCE,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
U0_SS,density_rate,LINEAGE,HMSO01R_A|FIELD_LINEAGE|0f0f1b8e6d3d2de7f2739e4c27aed7f4a0fa84df148b19d95d7dbbf8ec12bea3,0.1,0.9,7.743121034250964,0.016745125748645347,0.0,0,2560,FROZEN_K10_NEIGHBOURS_PLUS_FROZEN_K10_MATCHED_RANDOM_EDGES,PERSISTENT_OPERATIONAL_NEAR_COLLISION_EVIDENCE,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
U0_SS,density_rate,LINEAGE,HMSO01R_A|FIELD_LINEAGE|0f49beb059c8327e240fa524ede4b5d0ddc16e0eb915fce826282146040c0e20,0.1,0.9,7.743121034250964,0.016745125748645347,0.0,0,5120,FROZEN_K10_NEIGHBOURS_PLUS_FROZEN_K10_MATCHED_RANDOM_EDGES,PERSISTENT_OPERATIONAL_NEAR_COLLISION_EVIDENCE,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
U0_SS,density_rate,LINEAGE,HMSO01R_A|FIELD_LINEAGE|0fdda9072ffc8d97ff7e0441813be2217cbf8a41c67bef8c56cb65c5e8c889e5,0.1,0.9,7.743121034250964,0.016745125748645347,0.0,0,2560,FROZEN_K10_NEIGHBOURS_PLUS_FROZEN_K10_MATCHED_RANDOM_EDGES,PERSISTENT_OPERATIONAL_NEAR_COLLISION_EVIDENCE,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
U0_SS,density_rate,LINEAGE,HMSO01R_A|FIELD_LINEAGE|1014832cdbdd8f9e416c91cfffc398c0221e1acf20617efe558f4efd66f3578a,0.1,0.9,7.743121034250964,0.016745125748645347,0.0,0,2560,FROZEN_K10_NEIGHBOURS_PLUS_FROZEN_K10_MATCHED_RANDOM_EDGES,PERSISTENT_OPERATIONAL_NEAR_COLLISION_EVIDENCE,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
U0_SS,density_rate,LINEAGE,HMSO01R_A|FIELD_LINEAGE|101e8ab2bfdfa561a79b7bef11d98c5487b65f400bdd7d35b17d61b9746e280e,0.1,0.9,7.743121034250964,0.016745125748645347,0.0,0,2560,FROZEN_K10_NEIGHBOURS_PLUS_FROZEN_K10_MATCHED_RANDOM_EDGES,PERSISTENT_OPERATIONAL_NEAR_COLLISION_EVIDENCE,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
U0_SS,density_rate,LINEAGE,HMSO01R_A|FIELD_LINEAGE|10ec2dec79c0538398e95e49cd33ade9183e905d4ea4b212dcd4e7ec34fc5546,0.1,0.9,7.743121034250964,0.016745125748645347,0.0,0,2560,FROZEN_K10_NEIGHBOURS_PLUS_FROZEN_K10_MATCHED_RANDOM_EDGES,PERSISTENT_OPERATIONAL_NEAR_COLLISION_EVIDENCE,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
