proxy_id,proxy_class,component,scope,scope_id,proxy_distance_target_disagreement_spearman,mean_proxy_neighbour_difference,mean_target_neighbour_disagreement,status,evidence_class
P1_DELTA_PRESSURE_0p75,P1_VECTOR_SCALE_RESPONSES,pressure_gradient_acceleration,FAMILY_FOLD,F4|FOLD_4,,0.0,0.0,NOT_EVALUABLE_CONSTANT_OR_INSUFFICIENT,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
P1_DELTA_PRESSURE_0p75,P1_VECTOR_SCALE_RESPONSES,pressure_gradient_acceleration,FAMILY_FOLD,F1|FOLD_5,0.9731560630961125,0.7514267424666439,0.6512890246164696,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
P1_DELTA_PRESSURE_0p75,P1_VECTOR_SCALE_RESPONSES,pressure_gradient_acceleration,FAMILY_FOLD,F2|FOLD_5,0.9614127022273968,1.8278561855861692,0.5876490406178272,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
P1_DELTA_PRESSURE_0p75,P1_VECTOR_SCALE_RESPONSES,pressure_gradient_acceleration,FAMILY_FOLD,F3|FOLD_5,0.9997627386408661,0.4241623883515119,0.10192538242629332,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
P1_DELTA_PRESSURE_0p75,P1_VECTOR_SCALE_RESPONSES,pressure_gradient_acceleration,FAMILY_FOLD,F4|FOLD_5,0.8499263544736838,5.680802458130974,3.577310091667505,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
P1_LOG_SECANT_PRESSURE_0p75,P1_VECTOR_SCALE_RESPONSES,pressure_gradient_acceleration,OVERALL,ALL,0.9868625094740561,1.6125217967550798,1.0708077029727745,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
P1_LOG_SECANT_PRESSURE_0p75,P1_VECTOR_SCALE_RESPONSES,pressure_gradient_acceleration,FOLD,FOLD_0,0.9857097877012552,1.7510462506839561,0.9842849397119445,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
P1_LOG_SECANT_PRESSURE_0p75,P1_VECTOR_SCALE_RESPONSES,pressure_gradient_acceleration,FOLD,FOLD_1,0.9724620064865177,3.208688493847351,2.9489604621351995,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
P1_LOG_SECANT_PRESSURE_0p75,P1_VECTOR_SCALE_RESPONSES,pressure_gradient_acceleration,FOLD,FOLD_2,0.9853782058322957,1.117720070687486,0.44536414206949265,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
P1_LOG_SECANT_PRESSURE_0p75,P1_VECTOR_SCALE_RESPONSES,pressure_gradient_acceleration,FOLD,FOLD_3,0.998570034677347,0.6935358894897475,0.3560738570186069,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
P1_LOG_SECANT_PRESSURE_0p75,P1_VECTOR_SCALE_RESPONSES,pressure_gradient_acceleration,FOLD,FOLD_4,0.9832467483255499,0.7749995876487711,0.32073507488833414,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
P1_LOG_SECANT_PRESSURE_0p75,P1_VECTOR_SCALE_RESPONSES,pressure_gradient_acceleration,FOLD,FOLD_5,0.9758231734170894,1.818008588337111,1.0730256043763253,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
P1_LOG_SECANT_PRESSURE_0p75,P1_VECTOR_SCALE_RESPONSES,pressure_gradient_acceleration,FAMILY,F1,0.9892462993100509,0.6026726847026682,0.7556186770620699,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
P1_LOG_SECANT_PRESSURE_0p75,P1_VECTOR_SCALE_RESPONSES,pressure_gradient_acceleration,FAMILY,F2,0.9709554803858046,1.2248424159878313,0.2790065620403904,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
P1_LOG_SECANT_PRESSURE_0p75,P1_VECTOR_SCALE_RESPONSES,pressure_gradient_acceleration,FAMILY,F3,0.9965577452747035,0.9680049065602266,0.42980472053979546,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
P1_LOG_SECANT_PRESSURE_0p75,P1_VECTOR_SCALE_RESPONSES,pressure_gradient_acceleration,FAMILY,F4,0.9599097147938448,3.6545671797695936,2.818800852248842,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
P1_LOG_SECANT_PRESSURE_0p75,P1_VECTOR_SCALE_RESPONSES,pressure_gradient_acceleration,FAMILY_FOLD,F1|FOLD_0,0.9993953750634306,0.2999323674364163,0.10860280273119954,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
P1_LOG_SECANT_PRESSURE_0p75,P1_VECTOR_SCALE_RESPONSES,pressure_gradient_acceleration,FAMILY_FOLD,F2|FOLD_0,0.9409324790435721,1.3213049351132988,0.2338912401729029,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
P1_LOG_SECANT_PRESSURE_0p75,P1_VECTOR_SCALE_RESPONSES,pressure_gradient_acceleration,FAMILY_FOLD,F3|FOLD_0,0.9905421852615708,1.0489181533173089,0.46170338157383445,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
P1_LOG_SECANT_PRESSURE_0p75,P1_VECTOR_SCALE_RESPONSES,pressure_gradient_acceleration,FAMILY_FOLD,F4|FOLD_0,0.946987812394464,3.56275353066611,2.474984190113828,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
P1_LOG_SECANT_PRESSURE_0p75,P1_VECTOR_SCALE_RESPONSES,pressure_gradient_acceleration,FAMILY_FOLD,F1|FOLD_1,0.962400370871352,0.7757066488394365,2.926914464157351,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
P1_LOG_SECANT_PRESSURE_0p75,P1_VECTOR_SCALE_RESPONSES,pressure_gradient_acceleration,FAMILY_FOLD,F2|FOLD_1,0.9979997104395754,0.2504731053473543,0.00975653822670038,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
P1_LOG_SECANT_PRESSURE_0p75,P1_VECTOR_SCALE_RESPONSES,pressure_gradient_acceleration,FAMILY_FOLD,F3|FOLD_1,0.9958059972122707,1.9409417954252213,0.6328581399886903,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
P1_LOG_SECANT_PRESSURE_0p75,P1_VECTOR_SCALE_RESPONSES,pressure_gradient_acceleration,FAMILY_FOLD,F4|FOLD_1,0.7892306937250613,7.423351230404548,6.343809878078505,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
P1_LOG_SECANT_PRESSURE_0p75,P1_VECTOR_SCALE_RESPONSES,pressure_gradient_acceleration,FAMILY_FOLD,F1|FOLD_2,0.98649871828449,0.6761315517695821,0.128554967981505,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
P1_LOG_SECANT_PRESSURE_0p75,P1_VECTOR_SCALE_RESPONSES,pressure_gradient_acceleration,FAMILY_FOLD,F2|FOLD_2,0.9581142924371837,1.2164118831378377,0.2794160963013133,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
P1_LOG_SECANT_PRESSURE_0p75,P1_VECTOR_SCALE_RESPONSES,pressure_gradient_acceleration,FAMILY_FOLD,F3|FOLD_2,0.9963046684024335,0.7285375436564637,0.27227408681761867,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
P1_LOG_SECANT_PRESSURE_0p75,P1_VECTOR_SCALE_RESPONSES,pressure_gradient_acceleration,FAMILY_FOLD,F4|FOLD_2,0.9798792423615206,2.073009913953286,1.335508589938568,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
P1_LOG_SECANT_PRESSURE_0p75,P1_VECTOR_SCALE_RESPONSES,pressure_gradient_acceleration,FAMILY_FOLD,F1|FOLD_3,0.9972487325794692,0.401928849873279,0.12296294278884531,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
P1_LOG_SECANT_PRESSURE_0p75,P1_VECTOR_SCALE_RESPONSES,pressure_gradient_acceleration,FAMILY_FOLD,F2|FOLD_3,0.9956756263267668,1.5153957357496388,0.41731410990275575,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
P1_LOG_SECANT_PRESSURE_0p75,P1_VECTOR_SCALE_RESPONSES,pressure_gradient_acceleration,FAMILY_FOLD,F3|FOLD_3,0.9979210765837082,0.7807185636133934,0.7763854671081002,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
P1_LOG_SECANT_PRESSURE_0p75,P1_VECTOR_SCALE_RESPONSES,pressure_gradient_acceleration,FAMILY_FOLD,F4|FOLD_3,,0.0,0.0,NOT_EVALUABLE_CONSTANT_OR_INSUFFICIENT,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
P1_LOG_SECANT_PRESSURE_0p75,P1_VECTOR_SCALE_RESPONSES,pressure_gradient_acceleration,FAMILY_FOLD,F1|FOLD_4,0.9859294669619562,0.7111434357710154,0.7337101406447311,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
P1_LOG_SECANT_PRESSURE_0p75,P1_VECTOR_SCALE_RESPONSES,pressure_gradient_acceleration,FAMILY_FOLD,F2|FOLD_4,0.9167496305771872,1.2645181020942613,0.15422059516253378,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
P1_LOG_SECANT_PRESSURE_0p75,P1_VECTOR_SCALE_RESPONSES,pressure_gradient_acceleration,FAMILY_FOLD,F3|FOLD_4,0.9937138075584876,0.9337484251975222,0.2945036084375548,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
P1_LOG_SECANT_PRESSURE_0p75,P1_VECTOR_SCALE_RESPONSES,pressure_gradient_acceleration,FAMILY_FOLD,F4|FOLD_4,,0.0,0.0,NOT_EVALUABLE_CONSTANT_OR_INSUFFICIENT,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
P1_LOG_SECANT_PRESSURE_0p75,P1_VECTOR_SCALE_RESPONSES,pressure_gradient_acceleration,FAMILY_FOLD,F1|FOLD_5,0.9745586218301857,0.77874090436388,0.6512890246164696,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
P1_LOG_SECANT_PRESSURE_0p75,P1_VECTOR_SCALE_RESPONSES,pressure_gradient_acceleration,FAMILY_FOLD,F2|FOLD_5,0.9618384851717697,1.754945903764392,0.5876490406178272,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
P1_LOG_SECANT_PRESSURE_0p75,P1_VECTOR_SCALE_RESPONSES,pressure_gradient_acceleration,FAMILY_FOLD,F3|FOLD_5,0.9997232613358353,0.39035689658928724,0.10192538242629332,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
P1_LOG_SECANT_PRESSURE_0p75,P1_VECTOR_SCALE_RESPONSES,pressure_gradient_acceleration,FAMILY_FOLD,F4|FOLD_5,0.8433650571651787,5.191318002062145,3.577310091667505,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
P3_DOT_BASE_PRESSURE_0p75,P3_BASE_OPERATOR_ALIGNMENT,pressure_gradient_acceleration,OVERALL,ALL,0.9805862419117499,22.400869133425942,1.0708077029727745,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
P3_DOT_BASE_PRESSURE_0p75,P3_BASE_OPERATOR_ALIGNMENT,pressure_gradient_acceleration,FOLD,FOLD_0,0.9795204493575832,20.486694645681457,0.9842849397119445,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
P3_DOT_BASE_PRESSURE_0p75,P3_BASE_OPERATOR_ALIGNMENT,pressure_gradient_acceleration,FOLD,FOLD_1,0.9666024694710968,57.37189208875104,2.9489604621351995,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
P3_DOT_BASE_PRESSURE_0p75,P3_BASE_OPERATOR_ALIGNMENT,pressure_gradient_acceleration,FOLD,FOLD_2,0.9776274085413623,11.982019626092956,0.44536414206949265,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
