arm,feature_index,feature_name,feature_dimension,finite_count,nonfinite_count,exact_constant,exact_duplicate_of,pairwise_exact_linear_dependency_of,linear_dependency_scalar_diagnostic,minimum,maximum,absolute_maximum,train_fold_iqr_degeneracy_count,column_sha256
MS,23,obs__base_first_moment_error_yy,110,221184,0,False,,,,-0.08616240041409884,0.09116489660625726,0.09116489660625726,0,b50d26a9fb2ea9c7faaaa895093219cb6252ebdbc80bca09a46810ca73ee0202
MS,24,obs__base_first_moment_error_fro,110,221184,0,False,,,,2.0872857681803928e-05,0.1445148361660781,0.1445148361660781,0,07b0a4d038609dbb51bdf999db1453fef3c246cc09778204df402c2d6ac3b1e8
MS,25,obs__base_grad_constant_x_times_h,110,221184,0,False,,,,-0.43340559668191453,0.41834478452197194,0.43340559668191453,0,35a5f6e6cdf620ddfa83846576784bc294c796b34ccf049603a4195162c6b393
MS,26,obs__base_grad_constant_y_times_h,110,221184,0,False,,,,-0.38441398518226516,0.40450405537664574,0.40450405537664574,0,13540e34290790ee420735953510acb9291f18d5aacca3dcdde35997836acf4b
MS,27,obs__base_grad_constant_norm_times_h,110,221184,0,False,,,,3.7330270918808947e-17,0.4748806558858037,0.4748806558858037,0,a7b122e61ec5f8ed482a7af154ee0ea74f56fd66df5ef6fb6eee3935fc93b13e
MS,28,obs__local_dv_mean_x,110,221184,0,False,,,,-0.20334371039455426,0.20334371039455443,0.20334371039455443,3,820da50e5829cea4072885d1dc1734bc58569cd8ef43d2dea83a64c14d2cdc8f
MS,29,obs__local_dv_mean_y,110,221184,0,False,,,,-0.1554248143299981,0.15542481432999825,0.15542481432999825,2,8fc05ad277e1a0f8d609e7af3d710af3c7faf55626fd217de271be19fc7894b5
MS,30,obs__local_dv_rms,110,221184,0,False,,,,0.0,0.24980589657387073,0.24980589657387073,0,6f1def37064da51832ea7cc7366ade9b21ceb7ff0034d394b4172a1cb4cb79bc
MS,31,obs__local_dv_second_xx,110,221184,0,False,,,,0.0,0.0624029859630754,0.0624029859630754,0,f7d10b5810a253de7a883e5ae71382c4c03ef453c92eb16b6a71dbb198d8b9ed
MS,32,obs__local_dv_second_xy,110,221184,0,False,,,,-0.015924602465715774,0.015924602465715774,0.015924602465715774,6,9d81974ad755c4b38aa2f941ff840d94528778c338d3d950d6139da5b4779d6f
MS,33,obs__local_dv_second_yy,110,221184,0,False,,,,0.0,0.041573746857380176,0.041573746857380176,0,40fefa5e9c39ace3c8daa8e4a270ec3d284a8929985bb9262e863d4538e0382d
MS,34,obs__L_1p00__density_rate,110,221184,0,False,,,,-3.1631207800131045,3.1631207800131027,3.1631207800131045,0,f1d18c87b2b84f1df36c13a5db116f288ab7924d21a38d367ef98937fc153ac9
MS,35,obs__L_1p00__pressure_acceleration_x,110,221184,0,False,,,,-28.640395127952168,28.282333337368286,28.640395127952168,6,fa0e3595a6ffd317844178029b32d98e20d4f2f73c4f82d8ff4c712aec8f31e7
MS,36,obs__L_1p00__pressure_acceleration_y,110,221184,0,False,,,,-22.971281724934368,22.961657526003012,22.971281724934368,6,ff7ca7a1cd625fc0aac0e221af6422fe9c62b06828001153aa7436c0507fa868
MS,37,obs__L_1p00__viscosity_acceleration_x,110,221184,0,False,,,,-0.6428523434944584,0.6428523434944584,0.6428523434944584,3,1fcf59aa5a4b64451a6414f68186db2b377b44ada6fda3ce09b80eb812df064a
MS,38,obs__L_1p00__viscosity_acceleration_y,110,221184,0,False,,,,-0.6222715982512642,0.6222715982512645,0.6222715982512645,2,7cac8f759b76ce1c3812b1fc7dae79ca0f535ea8b398cce130708b88801d09b3
