arm,component,formal_case_index,case_id,particle_id,sample_global_index,sample_rank_within_case,field_lineage_id,fold,family,matched_random_denominator,matched_random_denominator_exact_zero,descriptor_nn_numerator,descriptor_nn_numerator_status,classification_A_zero_over_zero,classification_B_positive_over_zero,classification_C_query_serialized_exact_zero,classification_C_query_raw_exact_zero,classification_D_random_targets_numeric_exact_identical,random_targets_uint64_bitwise_identical,classification_E_serialization_caused_zero,classification_F_raw_float64_denominator_exact_zero,nonidentical_but_squared_underflow_to_zero,raw_store_target_bitwise_identity,matched_random_sample_global_indices,matched_random_identity_sha256,evidence_class
MS,pressure_gradient_acceleration,66,MSO02A|PRIMARY|F1|8dc044e544ee558ba05e7006991539832d0f764898a05e3253d528527ae34f49,314,8558,110,MSO02A|FIELD_LINEAGE|b8579281a0350e4c8cac1848402ae7d548f836daefca7e2cdcfba6bd78e77da0,FOLD_1,F1,0.0,True,,INCONCLUSIVE_INPUT_NOT_AUTHORIZED,INCONCLUSIVE_INPUT_NOT_AUTHORIZED,INCONCLUSIVE_INPUT_NOT_AUTHORIZED,True,True,True,True,False,True,False,True,8318|26222|16298|11708|17142|11572|46965|17622|33437|21476,f7fc810386616c764ebcd6503b07bd720d3b26f56d5fa3e12da2ea3948ca9fb8,CONSUMED_EVIDENCE_DIAGNOSTIC_ONLY
MS,pressure_gradient_acceleration,70,MSO02A|PRIMARY|F1|2234b4db877d2ad3bde5a5e84656e2eaf320b4fbc53374a555d15d13478576a7,105,9032,72,MSO02A|FIELD_LINEAGE|d1b754a10f028de3beca3fc37ad110f67dda489f36eec1692eda71d47ffcc2dc,FOLD_3,F1,0.0,True,,INCONCLUSIVE_INPUT_NOT_AUTHORIZED,INCONCLUSIVE_INPUT_NOT_AUTHORIZED,INCONCLUSIVE_INPUT_NOT_AUTHORIZED,True,True,True,True,False,True,False,True,1512|38827|11216|23265|4067|40130|39204|29509|38074|14007,9bef14b34fa5245109cf38f102a5274211ec57bc00dbc0f988b9fc65ab612c6c,CONSUMED_EVIDENCE_DIAGNOSTIC_ONLY
MS,pressure_gradient_acceleration,72,MSO02A|PRIMARY|F1|fbbbb1ed03124a36be1b69dfe633b36217557a554bc155beacb6a4db96d28850,18,9343,127,MSO02A|FIELD_LINEAGE|0bbc210557a3130dcc61e84927f7b62ab7cc611801a658d3d4128eac02df0cce,FOLD_4,F1,0.0,True,,INCONCLUSIVE_INPUT_NOT_AUTHORIZED,INCONCLUSIVE_INPUT_NOT_AUTHORIZED,INCONCLUSIVE_INPUT_NOT_AUTHORIZED,True,True,True,True,False,True,False,True,42640|49118|28590|18687|20923|26825|40140|5789|41510|11542,e86e1d0418965316ca51e4f5896e633da91e41c11469b7db1416b99c8f9dd9b1,CONSUMED_EVIDENCE_DIAGNOSTIC_ONLY
MS,pressure_gradient_acceleration,74,MSO02A|PRIMARY|F1|16c0c55c891262fc743acefc7c595017578cc9d918543e89056c715eced51423,399,9515,43,MSO02A|FIELD_LINEAGE|1c57915c5e2f37d04f8c0d2bc033447866df6f76bce4a3581a090147e22c9ba9,FOLD_1,F1,0.0,True,,INCONCLUSIVE_INPUT_NOT_AUTHORIZED,INCONCLUSIVE_INPUT_NOT_AUTHORIZED,INCONCLUSIVE_INPUT_NOT_AUTHORIZED,True,True,True,True,False,True,False,True,39271|34349|8756|2465|14366|33484|29466|11709|41734|1766,993f21c3160c2b672a4cf4e25ce6208ce1a27898aa98af53c803140ee931a748,CONSUMED_EVIDENCE_DIAGNOSTIC_ONLY
MS,pressure_gradient_acceleration,84,MSO02A|PRIMARY|F1|06cf75637c2a3d3f3573ff97b6e359aec491b6279e5c26f01acbc1439755971a,167,10812,60,MSO02A|FIELD_LINEAGE|0ec1f462eddbaedb1cb552f0408db1f5b049166a2d000344456f7a726ab18a7b,FOLD_4,F1,0.0,True,,INCONCLUSIVE_INPUT_NOT_AUTHORIZED,INCONCLUSIVE_INPUT_NOT_AUTHORIZED,INCONCLUSIVE_INPUT_NOT_AUTHORIZED,True,True,True,True,False,True,False,True,38790|15940|21464|32262|18558|26433|26603|36209|11627|35446,d9e20a5fceefcaec717db121cdf0fc7ce99b92731144d35009c85ee439ed3c66,CONSUMED_EVIDENCE_DIAGNOSTIC_ONLY
MS,pressure_gradient_acceleration,84,MSO02A|PRIMARY|F1|06cf75637c2a3d3f3573ff97b6e359aec491b6279e5c26f01acbc1439755971a,320,10770,18,MSO02A|FIELD_LINEAGE|0ec1f462eddbaedb1cb552f0408db1f5b049166a2d000344456f7a726ab18a7b,FOLD_4,F1,0.0,True,,INCONCLUSIVE_INPUT_NOT_AUTHORIZED,INCONCLUSIVE_INPUT_NOT_AUTHORIZED,INCONCLUSIVE_INPUT_NOT_AUTHORIZED,True,True,True,True,False,True,False,True,41175|24717|23294|22123|11607|5348|48526|28190|14040|30296,239da915d6ec4e4e4904517b513cb8bd5339118c1fe60980b3a1bd9e9498d574,CONSUMED_EVIDENCE_DIAGNOSTIC_ONLY
MS,pressure_gradient_acceleration,91,MSO02A|PRIMARY|F1|3a1f7dbfb327db3e8898ef55bca8751c8a0a58970280aaafb42beef817831e7a,170,11671,23,MSO02A|FIELD_LINEAGE|3686785662515dda81e66d0878574bc968e913c4b9cb0c0951b20aca3f4f5045,FOLD_3,F1,0.0,True,,INCONCLUSIVE_INPUT_NOT_AUTHORIZED,INCONCLUSIVE_INPUT_NOT_AUTHORIZED,INCONCLUSIVE_INPUT_NOT_AUTHORIZED,True,True,True,True,False,True,False,True,3577|46638|24746|31432|18343|22529|32597|31027|29558|16328,3726a321d29d99687922c21d0a0ddcbb83742c03f1bbd5f9f9ce960b9fe53015,CONSUMED_EVIDENCE_DIAGNOSTIC_ONLY
MS,pressure_gradient_acceleration,96,MSO02A|PRIMARY|F2|23b417b4ef0160f04098bbc11651e8eaffa50dbbee368e4d7b8363cb6a44d01b,281,12359,71,MSO02A|FIELD_LINEAGE|441fdcabb89a108e9ed39ed118e4defcdf9aefaf6ee129fea00cd6ebf899cd64,FOLD_3,F2,0.0,True,,INCONCLUSIVE_INPUT_NOT_AUTHORIZED,INCONCLUSIVE_INPUT_NOT_AUTHORIZED,INCONCLUSIVE_INPUT_NOT_AUTHORIZED,True,True,True,True,False,True,False,True,915|14050|9660|22837|12990|1470|3708|33326|21604|34844,af30e786c640ccb56cdbe5de2bb8af77fbd996909e796b1ea6d19f30568fdbc0,CONSUMED_EVIDENCE_DIAGNOSTIC_ONLY
MS,pressure_gradient_acceleration,101,MSO02A|PRIMARY|F2|c65ac2c8a1ac9a4215aed727932730ea3949e884466c9efd58935794fc230b2d,96,12949,21,MSO02A|FIELD_LINEAGE|289c08435e630594dbdcf8320ef45a7f1c10f9f36c17ee8593a04709e590986c,FOLD_2,F2,0.0,True,,INCONCLUSIVE_INPUT_NOT_AUTHORIZED,INCONCLUSIVE_INPUT_NOT_AUTHORIZED,INCONCLUSIVE_INPUT_NOT_AUTHORIZED,True,True,True,True,False,True,False,True,33271|3630|14217|6655|32158|44583|42194|47185|38729|8711,f0139f1d1458b465db286d97a052095ac49aab776f3f2b732dec977322d37173,CONSUMED_EVIDENCE_DIAGNOSTIC_ONLY
MS,pressure_gradient_acceleration,101,MSO02A|PRIMARY|F2|c65ac2c8a1ac9a4215aed727932730ea3949e884466c9efd58935794fc230b2d,200,13054,126,MSO02A|FIELD_LINEAGE|289c08435e630594dbdcf8320ef45a7f1c10f9f36c17ee8593a04709e590986c,FOLD_2,F2,0.0,True,,INCONCLUSIVE_INPUT_NOT_AUTHORIZED,INCONCLUSIVE_INPUT_NOT_AUTHORIZED,INCONCLUSIVE_INPUT_NOT_AUTHORIZED,True,True,True,True,False,True,False,True,34084|34281|34048|45910|6539|45309|5226|16683|27793|41207,fe2ca2da39ec997d5c930abc4e6df8f0ac6e372f0481178510596c8e7ffa1b07,CONSUMED_EVIDENCE_DIAGNOSTIC_ONLY
