arm,feature_index,feature_name,feature_dimension,finite_count,nonfinite_count,exact_constant,exact_duplicate_of,pairwise_exact_linear_dependency_of,linear_dependency_scalar_diagnostic,minimum,maximum,absolute_maximum,train_fold_iqr_degeneracy_count,column_sha256
MS,97,obs__C_0p75_1p00_1p25__viscosity_acceleration_x,110,49152,0,False,,,,-0.7843876662713265,0.5799131151497294,0.7843876662713265,0,3e12f3c412c44e79c05fbf44b2be31c71211a8971cbfc81deff2c4f71fa561b9
MS,98,obs__C_0p75_1p00_1p25__viscosity_acceleration_y,110,49152,0,False,,,,-0.7978399023391297,0.8898771584503589,0.8898771584503589,1,ae068f4746455140cb2a84210985e9d2d9c28cab5c5499801c0ffbbb4ea3a633
MS,99,obs__C_1p00_1p25_1p50__density_rate,110,49152,0,False,,,,-1.9564209969048616,1.9564209969048791,1.9564209969048791,0,e1d56a7572f3f1ab1cedcd25a517ff2da6a5dd00844b2b5ae6dfb3ac2e211325
MS,100,obs__C_1p00_1p25_1p50__pressure_acceleration_x,110,49152,0,False,,,,-63.62705518532202,67.30083986921116,67.30083986921116,6,b4da82a0d14a82c17cd49bfd2ddca2a03dc4f2e65e4d844871a717adbf8d181f
MS,101,obs__C_1p00_1p25_1p50__pressure_acceleration_y,110,49152,0,False,,,,-66.56020161791592,78.9382391216174,78.9382391216174,6,687f571a56961c0dc8d69370055dd5069853f9cdd4f4de5833c3864b7692eab0
MS,102,obs__C_1p00_1p25_1p50__viscosity_acceleration_x,110,49152,0,False,,,,-0.4948017929187263,0.4592333106719087,0.4948017929187263,0,219066b9b2dfa9e986e3066ddefacb08476bf80d75cb66405d1f3450a53e8a65
MS,103,obs__C_1p00_1p25_1p50__viscosity_acceleration_y,110,49152,0,False,,,,-0.4948017929187263,0.48927789668055033,0.4948017929187263,1,1e580cb80bb07ac7528e51e794ee0b5c56ff3d8665767a1edf0326a99700f7b1
MS,104,obs__topology_nonself_neighbor_count_0p75,110,49152,0,False,,,,13.0,44.0,44.0,0,2ef17d81af2e18d6a3e3c13fea4536267f36e0ebeaf0a893f3b1f837ca49b7d1
MS,105,obs__topology_neighbor_count_delta_vs_base_0p75,110,49152,0,False,,,,-37.0,-4.0,37.0,0,090da3b8c60c3c487139e9445df770c4ace73e02dcafede69342122632c07366
MS,106,obs__topology_nonself_neighbor_count_1p25,110,49152,0,False,,,,42.0,126.0,126.0,0,5f3b0371701c03c2734b6058ef3e6eb5a047bb45d8453861fd823ccbcbff61ce
MS,107,obs__topology_neighbor_count_delta_vs_base_1p25,110,49152,0,False,,,,13.0,53.0,53.0,0,60b334428dac94d6ab5de4518589539c25d40308a06bee2a0acd07448e9131f4
MS,108,obs__topology_nonself_neighbor_count_1p50,110,49152,0,False,,,,61.0,180.0,180.0,0,b9bd9f8424c6757b981b92319b460355e229c95a38daa2801add1a20b97f4324
MS,109,obs__topology_neighbor_count_delta_vs_base_1p50,110,49152,0,False,,,,33.0,106.0,106.0,0,14ab43d08e09eced6fe0416e7c2486dea79e66afead9f6dcec278c0dbfd4c711
