candidate_role,case_id,family,field_lineage_id,lambda,particle_count,edge_count,finite_state,finite_operator_outputs,deterministic_graph_construction,reciprocal_graph_semantics,duplicate_alias_self_edge_convention,periodic_minimum_image_correct,support_complete,zero_neighbor_count,minimum_nonself_neighbor_count,p01_nonself_neighbor_count,minimum_support_requirement_passed,weighted_covariance_rank_failure_count,support_completeness_fraction,operator_repeatability_bitwise,component_closure_bitwise,lambda_1_vendor_base_path_identity,graph_nesting_passed,scale_response_finite,case_scale_passed
PRIMARY,HMSO01R_A|PRIMARY|F1|63b55d105a1f081e8b7d8bebf35069c236c2daea18d7054cd0d430ed3a2842c0,F1,HMSO01R_A|FIELD_LINEAGE|fa1ab395df96eb71b1cd3e5c31c1a1fe587398989c58265b21dd97a062b35ef9,1.0,576,16704,True,True,True,True,True,True,True,0,28,28.0,True,0,1.0,True,True,True,True,True,True
PRIMARY,HMSO01R_A|PRIMARY|F1|63b55d105a1f081e8b7d8bebf35069c236c2daea18d7054cd0d430ed3a2842c0,F1,HMSO01R_A|FIELD_LINEAGE|fa1ab395df96eb71b1cd3e5c31c1a1fe587398989c58265b21dd97a062b35ef9,1.25,576,25920,True,True,True,True,True,True,True,0,44,44.0,True,0,1.0,True,True,True,True,True,True
PRIMARY,HMSO01R_A|PRIMARY|F1|63b55d105a1f081e8b7d8bebf35069c236c2daea18d7054cd0d430ed3a2842c0,F1,HMSO01R_A|FIELD_LINEAGE|fa1ab395df96eb71b1cd3e5c31c1a1fe587398989c58265b21dd97a062b35ef9,1.5,576,39744,True,True,True,True,True,True,True,0,68,68.0,True,0,1.0,True,True,True,True,True,True
PRIMARY,HMSO01R_A|PRIMARY|F1|74a12153712609103a3fed3a31e86ae95fca60502b239f6ee31ee9f8a4a37ebf,F1,HMSO01R_A|FIELD_LINEAGE|7fcdfe3b32b571e4d4b1a4e7c1702d5dffaf41926d62628c6a434d692409d901,0.75,576,12096,True,True,True,True,True,True,True,0,20,20.0,True,0,1.0,True,True,True,True,True,True
PRIMARY,HMSO01R_A|PRIMARY|F1|74a12153712609103a3fed3a31e86ae95fca60502b239f6ee31ee9f8a4a37ebf,F1,HMSO01R_A|FIELD_LINEAGE|7fcdfe3b32b571e4d4b1a4e7c1702d5dffaf41926d62628c6a434d692409d901,1.0,576,16704,True,True,True,True,True,True,True,0,28,28.0,True,0,1.0,True,True,True,True,True,True
PRIMARY,HMSO01R_A|PRIMARY|F1|74a12153712609103a3fed3a31e86ae95fca60502b239f6ee31ee9f8a4a37ebf,F1,HMSO01R_A|FIELD_LINEAGE|7fcdfe3b32b571e4d4b1a4e7c1702d5dffaf41926d62628c6a434d692409d901,1.25,576,25920,True,True,True,True,True,True,True,0,44,44.0,True,0,1.0,True,True,True,True,True,True
PRIMARY,HMSO01R_A|PRIMARY|F1|74a12153712609103a3fed3a31e86ae95fca60502b239f6ee31ee9f8a4a37ebf,F1,HMSO01R_A|FIELD_LINEAGE|7fcdfe3b32b571e4d4b1a4e7c1702d5dffaf41926d62628c6a434d692409d901,1.5,576,39744,True,True,True,True,True,True,True,0,68,68.0,True,0,1.0,True,True,True,True,True,True
PRIMARY,HMSO01R_A|PRIMARY|F1|e98e42893b00bae6b3c383328c4579b8fc15ac15d56505fb09208a96018bc491,F1,HMSO01R_A|FIELD_LINEAGE|cd1482e6386aeab5f67532ea00a4d133dd0798283239fa2bc60b1a36d8fd8390,0.75,576,25920,True,True,True,True,True,True,True,0,44,44.0,True,0,1.0,True,True,True,True,True,True
PRIMARY,HMSO01R_A|PRIMARY|F1|e98e42893b00bae6b3c383328c4579b8fc15ac15d56505fb09208a96018bc491,F1,HMSO01R_A|FIELD_LINEAGE|cd1482e6386aeab5f67532ea00a4d133dd0798283239fa2bc60b1a36d8fd8390,1.0,576,46656,True,True,True,True,True,True,True,0,80,80.0,True,0,1.0,True,True,True,True,True,True
PRIMARY,HMSO01R_A|PRIMARY|F1|e98e42893b00bae6b3c383328c4579b8fc15ac15d56505fb09208a96018bc491,F1,HMSO01R_A|FIELD_LINEAGE|cd1482e6386aeab5f67532ea00a4d133dd0798283239fa2bc60b1a36d8fd8390,1.25,576,69696,True,True,True,True,True,True,True,0,120,120.0,True,0,1.0,True,True,True,True,True,True
PRIMARY,HMSO01R_A|PRIMARY|F1|e98e42893b00bae6b3c383328c4579b8fc15ac15d56505fb09208a96018bc491,F1,HMSO01R_A|FIELD_LINEAGE|cd1482e6386aeab5f67532ea00a4d133dd0798283239fa2bc60b1a36d8fd8390,1.5,576,101952,True,True,True,True,True,True,True,0,176,176.0,True,0,1.0,True,True,True,True,True,True
PRIMARY,HMSO01R_A|PRIMARY|F1|7e82e7b632c2905675dfb9908bb28635a50c9d0afdc23c413d8a3bb153a65c1d,F1,HMSO01R_A|FIELD_LINEAGE|ff441cbe04ac4f8f63fd24360c00fa41becbfbb5a6acdf59e4dfd55c77c15642,0.75,576,12096,True,True,True,True,True,True,True,0,20,20.0,True,0,1.0,True,True,True,True,True,True
PRIMARY,HMSO01R_A|PRIMARY|F1|7e82e7b632c2905675dfb9908bb28635a50c9d0afdc23c413d8a3bb153a65c1d,F1,HMSO01R_A|FIELD_LINEAGE|ff441cbe04ac4f8f63fd24360c00fa41becbfbb5a6acdf59e4dfd55c77c15642,1.0,576,16704,True,True,True,True,True,True,True,0,28,28.0,True,0,1.0,True,True,True,True,True,True
PRIMARY,HMSO01R_A|PRIMARY|F1|7e82e7b632c2905675dfb9908bb28635a50c9d0afdc23c413d8a3bb153a65c1d,F1,HMSO01R_A|FIELD_LINEAGE|ff441cbe04ac4f8f63fd24360c00fa41becbfbb5a6acdf59e4dfd55c77c15642,1.25,576,25920,True,True,True,True,True,True,True,0,44,44.0,True,0,1.0,True,True,True,True,True,True
PRIMARY,HMSO01R_A|PRIMARY|F1|7e82e7b632c2905675dfb9908bb28635a50c9d0afdc23c413d8a3bb153a65c1d,F1,HMSO01R_A|FIELD_LINEAGE|ff441cbe04ac4f8f63fd24360c00fa41becbfbb5a6acdf59e4dfd55c77c15642,1.5,576,39744,True,True,True,True,True,True,True,0,68,68.0,True,0,1.0,True,True,True,True,True,True
PRIMARY,HMSO01R_A|PRIMARY|F1|3acaa171d742cbcbf15c7ac08ab281a976d2802302cecc69e603936bf8653389,F1,HMSO01R_A|FIELD_LINEAGE|eee5df81575181b025958cda057ac7cb0483be4404d018db7bb2c06a63c25462,0.75,576,12096,True,True,True,True,True,True,True,0,20,20.0,True,0,1.0,True,True,True,True,True,True
PRIMARY,HMSO01R_A|PRIMARY|F1|3acaa171d742cbcbf15c7ac08ab281a976d2802302cecc69e603936bf8653389,F1,HMSO01R_A|FIELD_LINEAGE|eee5df81575181b025958cda057ac7cb0483be4404d018db7bb2c06a63c25462,1.0,576,16704,True,True,True,True,True,True,True,0,28,28.0,True,0,1.0,True,True,True,True,True,True
PRIMARY,HMSO01R_A|PRIMARY|F1|3acaa171d742cbcbf15c7ac08ab281a976d2802302cecc69e603936bf8653389,F1,HMSO01R_A|FIELD_LINEAGE|eee5df81575181b025958cda057ac7cb0483be4404d018db7bb2c06a63c25462,1.25,576,25920,True,True,True,True,True,True,True,0,44,44.0,True,0,1.0,True,True,True,True,True,True
PRIMARY,HMSO01R_A|PRIMARY|F1|3acaa171d742cbcbf15c7ac08ab281a976d2802302cecc69e603936bf8653389,F1,HMSO01R_A|FIELD_LINEAGE|eee5df81575181b025958cda057ac7cb0483be4404d018db7bb2c06a63c25462,1.5,576,39744,True,True,True,True,True,True,True,0,68,68.0,True,0,1.0,True,True,True,True,True,True
PRIMARY,HMSO01R_A|PRIMARY|F1|1a54ee621f7d1bb29510cf77a1720376b2c019b9d90a93945658549ac2fa9403,F1,HMSO01R_A|FIELD_LINEAGE|1e499d17b9c103b93706f70e5fa2f7497086b8d1dab61b6d4e57ae6874e328ff,0.75,576,12096,True,True,True,True,True,True,True,0,20,20.0,True,0,1.0,True,True,True,True,True,True
PRIMARY,HMSO01R_A|PRIMARY|F1|1a54ee621f7d1bb29510cf77a1720376b2c019b9d90a93945658549ac2fa9403,F1,HMSO01R_A|FIELD_LINEAGE|1e499d17b9c103b93706f70e5fa2f7497086b8d1dab61b6d4e57ae6874e328ff,1.0,576,16704,True,True,True,True,True,True,True,0,28,28.0,True,0,1.0,True,True,True,True,True,True
PRIMARY,HMSO01R_A|PRIMARY|F1|1a54ee621f7d1bb29510cf77a1720376b2c019b9d90a93945658549ac2fa9403,F1,HMSO01R_A|FIELD_LINEAGE|1e499d17b9c103b93706f70e5fa2f7497086b8d1dab61b6d4e57ae6874e328ff,1.25,576,25920,True,True,True,True,True,True,True,0,44,44.0,True,0,1.0,True,True,True,True,True,True
PRIMARY,HMSO01R_A|PRIMARY|F1|1a54ee621f7d1bb29510cf77a1720376b2c019b9d90a93945658549ac2fa9403,F1,HMSO01R_A|FIELD_LINEAGE|1e499d17b9c103b93706f70e5fa2f7497086b8d1dab61b6d4e57ae6874e328ff,1.5,576,39744,True,True,True,True,True,True,True,0,68,68.0,True,0,1.0,True,True,True,True,True,True
PRIMARY,HMSO01R_A|PRIMARY|F1|9b0121f166d7fe06976fbebe9a191c783f584d4642eab46fd48553c06dfce45d,F1,HMSO01R_A|FIELD_LINEAGE|70dd50135b0ce37b393c6eae858eae2988f95a40a860753345e473ce01dd9d91,0.75,576,16704,True,True,True,True,True,True,True,0,28,28.0,True,0,1.0,True,True,True,True,True,True
PRIMARY,HMSO01R_A|PRIMARY|F1|9b0121f166d7fe06976fbebe9a191c783f584d4642eab46fd48553c06dfce45d,F1,HMSO01R_A|FIELD_LINEAGE|70dd50135b0ce37b393c6eae858eae2988f95a40a860753345e473ce01dd9d91,1.0,576,28224,True,True,True,True,True,True,True,0,48,48.0,True,0,1.0,True,True,True,True,True,True
