case_id,lambda,component,direct_scale_rms,baseline_rms,baseline_difference_rms,log_scale_divided_difference_rms,repeat_rms_lambda,repeat_rms_base,edge_reorder_rms_lambda,edge_reorder_rms_base,dtype_scaled_floor,numerical_repeat_uncertainty_U,scale_response_resolvability_ratio_R,ratio_gate,ratio_gate_passed,S_0.75_1.25_rms,S_1.00_1.50_rms,C_0.75_1.00_1.25_rms,C_1.00_1.25_1.50_rms,all_response_values_finite
TBQ_JITTER05_S20260829,1.25,density_rate,0.26188466090953444,0.29849009104079244,0.03668014668631904,0.16437914728115763,0.0,0.0,6.858071780492982e-17,5.697729706338844e-17,5.684341886080802e-14,5.684341886080802e-14,645283964642.1936,100.0,True,0.1289400878281291,0.18772412770545652,0.253822035576537,0.25999593775677055,True
TBQ_JITTER05_S20260829,1.5,density_rate,0.22245276726518154,0.29849009104079244,0.07611558373460378,0.18772412770545652,0.0,0.0,5.817613288291155e-17,5.697729706338844e-17,5.684341886080802e-14,5.684341886080802e-14,1339039509938.474,100.0,True,0.1289400878281291,0.18772412770545652,0.253822035576537,0.25999593775677055,True
TBQ_JITTER05_S20260829,0.75,pressure_gradient_acceleration,0.16009624315501833,0.14078953342843262,0.022868686030176128,0.07949291325412433,0.0,0.0,5.452586042267989e-17,4.7092015548034766e-17,5.684341886080802e-14,5.684341886080802e-14,402310179234.1956,100.0,True,0.08848709421560226,0.1131653222883744,0.16929470665350277,0.12363577506496137,True
TBQ_JITTER05_S20260829,1.25,pressure_gradient_acceleration,0.11910811148259931,0.14078953342843262,0.02322273881614844,0.10407084891935041,0.0,0.0,4.688424681987763e-17,4.7092015548034766e-17,5.684341886080802e-14,5.684341886080802e-14,408538741714.56433,100.0,True,0.08848709421560226,0.1131653222883744,0.16929470665350277,0.12363577506496137,True
TBQ_JITTER05_S20260829,1.5,pressure_gradient_acceleration,0.09764315677360517,0.14078953342843262,0.045884589635751,0.1131653222883744,0.0,0.0,4.1856655952238715e-17,4.7092015548034766e-17,5.684341886080802e-14,5.684341886080802e-14,807210237443.8137,100.0,True,0.08848709421560226,0.1131653222883744,0.16929470665350277,0.12363577506496137,True
TBQ_JITTER05_S20260829,0.75,viscosity_laplacian_acceleration,0.04456793565763002,0.04269979616267652,0.0027645717792473823,0.009609815987788947,0.0,0.0,1.0424126442037231e-17,1.1434628390607011e-17,5.684341886080802e-14,5.684341886080802e-14,48634861073.66211,100.0,True,0.01004182404450965,0.013697095283721306,0.028410506980232255,0.0237415437578686,True
TBQ_JITTER05_S20260829,1.25,viscosity_laplacian_acceleration,0.040133099155193926,0.04269979616267652,0.0026537888096215224,0.011892742559630177,0.0,0.0,1.1427458609619983e-17,1.1434628390607011e-17,5.684341886080802e-14,5.684341886080802e-14,46685946461.451096,100.0,True,0.01004182404450965,0.013697095283721306,0.028410506980232255,0.0237415437578686,True
TBQ_JITTER05_S20260829,1.5,viscosity_laplacian_acceleration,0.037227229217320655,0.04269979616267652,0.005553694219981888,0.013697095283721306,0.0,0.0,1.0217770641050607e-17,1.1434628390607011e-17,5.684341886080802e-14,5.684341886080802e-14,97701621951.71918,100.0,True,0.01004182404450965,0.013697095283721306,0.028410506980232255,0.0237415437578686,True
TBQ_JITTER10_S20260847,0.75,density_rate,0.32554981374946707,0.29715987637713703,0.02967283586344501,0.1031445428995877,0.0,0.0,5.284837346482317e-17,5.942324744439761e-17,5.684341886080802e-14,5.684341886080802e-14,522010048975.1439,100.0,True,0.1283560901456716,0.18645313205123026,0.2699860751346997,0.266274642974468,True
TBQ_JITTER10_S20260847,1.25,density_rate,0.2609414840998822,0.29715987637713703,0.03644680515465329,0.16333344584685006,0.0,0.0,6.586637013766689e-17,5.942324744439761e-17,5.684341886080802e-14,5.684341886080802e-14,641178977005.2407,100.0,True,0.1283560901456716,0.18645313205123026,0.2699860751346997,0.266274642974468,True
TBQ_JITTER10_S20260847,1.5,density_rate,0.2217838950257049,0.29715987637713703,0.07560023934425793,0.18645313205123026,0.0,0.0,6.454046275581842e-17,5.942324744439761e-17,5.684341886080802e-14,5.684341886080802e-14,1329973475546.5637,100.0,True,0.1283560901456716,0.18645313205123026,0.2699860751346997,0.266274642974468,True
TBQ_JITTER10_S20260847,0.75,pressure_gradient_acceleration,0.1613078684319234,0.1409122000144335,0.02818703863201159,0.09797982332297084,0.0,0.0,4.835336404994854e-17,4.853307170907963e-17,5.684341886080802e-14,5.684341886080802e-14,495871627655.48895,100.0,True,0.09705073614241042,0.11381821927669117,0.23371329192753582,0.14393282468679566,True
TBQ_JITTER10_S20260847,1.25,pressure_gradient_acceleration,0.11922146847342856,0.1409122000144335,0.02360684025911445,0.1057921688531053,0.0,0.0,5.0786175539729615e-17,4.853307170907963e-17,5.684341886080802e-14,5.684341886080802e-14,415295925759.151,100.0,True,0.09705073614241042,0.11381821927669117,0.23371329192753582,0.14393282468679566,True
TBQ_JITTER10_S20260847,1.5,pressure_gradient_acceleration,0.09778256828895664,0.1409122000144335,0.04614931658370234,0.11381821927669117,0.0,0.0,4.2214518453750953e-17,4.853307170907963e-17,5.684341886080802e-14,5.684341886080802e-14,811867363163.1442,100.0,True,0.09705073614241042,0.11381821927669117,0.23371329192753582,0.14393282468679566,True
