component,requirement,requirement_pass,status,evaluable,not_evaluable_mechanism,ss_candidate_c,ms_candidate_c,conditional_variance_ratio,conditional_variance_ratio_simultaneous_ucb,oracle_nrmse_ratio,oracle_nrmse_ratio_simultaneous_ucb,worst_family_ss,worst_family_ms,reversal_folds,point_threshold,confidence_threshold
pressure_gradient_acceleration,conditional_variance_point_ratio,False,EVALUABLE,True,,,,1.0456141397842045,1.2073200250182583,0.49688465232622436,0.5694842680151591,0.7718723809576661,0.3959001894302489,,0.8,SEE_FROZEN_CONTRACT
pressure_gradient_acceleration,conditional_variance_simultaneous_ratio_ucb,False,EVALUABLE,True,,,,1.0456141397842045,1.2073200250182583,0.49688465232622436,0.5694842680151591,0.7718723809576661,0.3959001894302489,,SEE_FROZEN_CONTRACT,0.9
pressure_gradient_acceleration,oracle_nrmse_point_ratio,True,EVALUABLE,True,,,,1.0456141397842045,1.2073200250182583,0.49688465232622436,0.5694842680151591,0.7718723809576661,0.3959001894302489,,0.85,SEE_FROZEN_CONTRACT
pressure_gradient_acceleration,oracle_nrmse_simultaneous_ratio_ucb,True,EVALUABLE,True,,,,1.0456141397842045,1.2073200250182583,0.49688465232622436,0.5694842680151591,0.7718723809576661,0.3959001894302489,,SEE_FROZEN_CONTRACT,0.95
pressure_gradient_acceleration,candidate_c_nonworsening,True,EVALUABLE,True,,0.4755998398834187,0.47138674670724573,1.0456141397842045,1.2073200250182583,0.49688465232622436,0.5694842680151591,0.7718723809576661,0.3959001894302489,,SEE_FROZEN_CONTRACT,SEE_FROZEN_CONTRACT
pressure_gradient_acceleration,worst_family_guard,True,EVALUABLE,True,,,,1.0456141397842045,1.2073200250182583,0.49688465232622436,0.5694842680151591,0.7718723809576661,0.3959001894302489,,SEE_FROZEN_CONTRACT,SEE_FROZEN_CONTRACT
pressure_gradient_acceleration,coverage_guard,True,EVALUABLE,True,,,,1.0456141397842045,1.2073200250182583,0.49688465232622436,0.5694842680151591,0.7718723809576661,0.3959001894302489,,SEE_FROZEN_CONTRACT,SEE_FROZEN_CONTRACT
pressure_gradient_acceleration,no_fold_three_effect_reversal,True,EVALUABLE,True,,,,1.0456141397842045,1.2073200250182583,0.49688465232622436,0.5694842680151591,0.7718723809576661,0.3959001894302489,,SEE_FROZEN_CONTRACT,SEE_FROZEN_CONTRACT
viscosity_laplacian_acceleration,candidate_c_point_ratio,False,EVALUABLE,True,,0.7505561826142402,0.7345828529184237,1.0268835551148163,1.2001770478073195,0.40147464327666277,0.4737730548745305,0.6933343029739295,0.4236580324007863,,0.8,SEE_FROZEN_CONTRACT
viscosity_laplacian_acceleration,candidate_c_simultaneous_ratio_ucb,False,EVALUABLE,True,,0.7505561826142402,0.7345828529184237,1.0268835551148163,1.2001770478073195,0.40147464327666277,0.4737730548745305,0.6933343029739295,0.4236580324007863,,SEE_FROZEN_CONTRACT,0.9
viscosity_laplacian_acceleration,conditional_variance_point_ratio,False,EVALUABLE,True,,,,1.0268835551148163,1.2001770478073195,0.40147464327666277,0.4737730548745305,0.6933343029739295,0.4236580324007863,,0.8,SEE_FROZEN_CONTRACT
viscosity_laplacian_acceleration,conditional_variance_simultaneous_ratio_ucb,False,EVALUABLE,True,,,,1.0268835551148163,1.2001770478073195,0.40147464327666277,0.4737730548745305,0.6933343029739295,0.4236580324007863,,SEE_FROZEN_CONTRACT,0.9
viscosity_laplacian_acceleration,oracle_nrmse_point_ratio,True,EVALUABLE,True,,,,1.0268835551148163,1.2001770478073195,0.40147464327666277,0.4737730548745305,0.6933343029739295,0.4236580324007863,,0.85,SEE_FROZEN_CONTRACT
viscosity_laplacian_acceleration,oracle_nrmse_simultaneous_ratio_ucb,True,EVALUABLE,True,,,,1.0268835551148163,1.2001770478073195,0.40147464327666277,0.4737730548745305,0.6933343029739295,0.4236580324007863,,SEE_FROZEN_CONTRACT,0.95
viscosity_laplacian_acceleration,candidate_c_nonworsening,True,EVALUABLE,True,,0.7505561826142402,0.7345828529184237,1.0268835551148163,1.2001770478073195,0.40147464327666277,0.4737730548745305,0.6933343029739295,0.4236580324007863,,SEE_FROZEN_CONTRACT,SEE_FROZEN_CONTRACT
viscosity_laplacian_acceleration,worst_family_guard,True,EVALUABLE,True,,,,1.0268835551148163,1.2001770478073195,0.40147464327666277,0.4737730548745305,0.6933343029739295,0.4236580324007863,,SEE_FROZEN_CONTRACT,SEE_FROZEN_CONTRACT
viscosity_laplacian_acceleration,coverage_guard,True,EVALUABLE,True,,,,1.0268835551148163,1.2001770478073195,0.40147464327666277,0.4737730548745305,0.6933343029739295,0.4236580324007863,,SEE_FROZEN_CONTRACT,SEE_FROZEN_CONTRACT
viscosity_laplacian_acceleration,no_fold_three_effect_reversal,True,EVALUABLE,True,,,,1.0268835551148163,1.2001770478073195,0.40147464327666277,0.4737730548745305,0.6933343029739295,0.4236580324007863,,SEE_FROZEN_CONTRACT,SEE_FROZEN_CONTRACT
