arm,component,scope,scope_id,oracle_nrmse,mean_baseline_nrmse,improvement_over_mean_baseline,oracle_status,oracle_evaluable,oracle_not_evaluable_mechanism,mean_baseline_status,mean_baseline_evaluable,mean_baseline_not_evaluable_mechanism,improvement_status,improvement_evaluable,improvement_not_evaluable_mechanism,selected_oracles_by_outer_fold
MS,pressure_gradient_acceleration,FOLD,FOLD_5,0.24704941933671087,0.741672657142643,,EVALUABLE,True,,EVALUABLE,True,,NOT_APPLICABLE_NON_OVERALL_SCOPE,False,NOT_APPLICABLE_NON_OVERALL_SCOPE,"{""0"": ""ridge"", ""1"": ""ridge"", ""2"": ""ridge"", ""3"": ""ridge"", ""4"": ""ridge"", ""5"": ""ridge""}"
MS,viscosity_laplacian_acceleration,OVERALL,ALL,0.18754480586081715,0.8897573782136127,0.7892180380258769,EVALUABLE,True,,EVALUABLE,True,,EVALUABLE,True,,"{""0"": ""ridge"", ""1"": ""ridge"", ""2"": ""ridge"", ""3"": ""ridge"", ""4"": ""ridge"", ""5"": ""ridge""}"
MS,viscosity_laplacian_acceleration,FAMILY,F1,0.18190523014348867,1.3589053560427524,,EVALUABLE,True,,EVALUABLE,True,,NOT_APPLICABLE_NON_OVERALL_SCOPE,False,NOT_APPLICABLE_NON_OVERALL_SCOPE,"{""0"": ""ridge"", ""1"": ""ridge"", ""2"": ""ridge"", ""3"": ""ridge"", ""4"": ""ridge"", ""5"": ""ridge""}"
MS,viscosity_laplacian_acceleration,FAMILY,F2,0.08211403609817523,0.66585034040847,,EVALUABLE,True,,EVALUABLE,True,,NOT_APPLICABLE_NON_OVERALL_SCOPE,False,NOT_APPLICABLE_NON_OVERALL_SCOPE,"{""0"": ""ridge"", ""1"": ""ridge"", ""2"": ""ridge"", ""3"": ""ridge"", ""4"": ""ridge"", ""5"": ""ridge""}"
MS,viscosity_laplacian_acceleration,FAMILY,F3,0.06250192480081848,0.7753527801768088,,EVALUABLE,True,,EVALUABLE,True,,NOT_APPLICABLE_NON_OVERALL_SCOPE,False,NOT_APPLICABLE_NON_OVERALL_SCOPE,"{""0"": ""ridge"", ""1"": ""ridge"", ""2"": ""ridge"", ""3"": ""ridge"", ""4"": ""ridge"", ""5"": ""ridge""}"
MS,viscosity_laplacian_acceleration,FAMILY,F4,0.4236580324007863,0.758921036226419,,EVALUABLE,True,,EVALUABLE,True,,NOT_APPLICABLE_NON_OVERALL_SCOPE,False,NOT_APPLICABLE_NON_OVERALL_SCOPE,"{""0"": ""ridge"", ""1"": ""ridge"", ""2"": ""ridge"", ""3"": ""ridge"", ""4"": ""ridge"", ""5"": ""ridge""}"
MS,viscosity_laplacian_acceleration,FOLD,FOLD_0,0.21074087444211276,0.7869588351114977,,EVALUABLE,True,,EVALUABLE,True,,NOT_APPLICABLE_NON_OVERALL_SCOPE,False,NOT_APPLICABLE_NON_OVERALL_SCOPE,"{""0"": ""ridge"", ""1"": ""ridge"", ""2"": ""ridge"", ""3"": ""ridge"", ""4"": ""ridge"", ""5"": ""ridge""}"
MS,viscosity_laplacian_acceleration,FOLD,FOLD_1,0.07322649292063126,0.6512804080551958,,EVALUABLE,True,,EVALUABLE,True,,NOT_APPLICABLE_NON_OVERALL_SCOPE,False,NOT_APPLICABLE_NON_OVERALL_SCOPE,"{""0"": ""ridge"", ""1"": ""ridge"", ""2"": ""ridge"", ""3"": ""ridge"", ""4"": ""ridge"", ""5"": ""ridge""}"
MS,viscosity_laplacian_acceleration,FOLD,FOLD_2,0.08939723389893242,0.5958333072333089,,EVALUABLE,True,,EVALUABLE,True,,NOT_APPLICABLE_NON_OVERALL_SCOPE,False,NOT_APPLICABLE_NON_OVERALL_SCOPE,"{""0"": ""ridge"", ""1"": ""ridge"", ""2"": ""ridge"", ""3"": ""ridge"", ""4"": ""ridge"", ""5"": ""ridge""}"
MS,viscosity_laplacian_acceleration,FOLD,FOLD_3,0.3334692745648629,1.8705475427628695,,EVALUABLE,True,,EVALUABLE,True,,NOT_APPLICABLE_NON_OVERALL_SCOPE,False,NOT_APPLICABLE_NON_OVERALL_SCOPE,"{""0"": ""ridge"", ""1"": ""ridge"", ""2"": ""ridge"", ""3"": ""ridge"", ""4"": ""ridge"", ""5"": ""ridge""}"
MS,viscosity_laplacian_acceleration,FOLD,FOLD_4,0.2878703203466664,1.038014562423379,,EVALUABLE,True,,EVALUABLE,True,,NOT_APPLICABLE_NON_OVERALL_SCOPE,False,NOT_APPLICABLE_NON_OVERALL_SCOPE,"{""0"": ""ridge"", ""1"": ""ridge"", ""2"": ""ridge"", ""3"": ""ridge"", ""4"": ""ridge"", ""5"": ""ridge""}"
